,output
cap_baseload_region1,19.617904
gen_baseload_region1,475928.0904184299
cap_peaking_region1,10.129224
gen_peaking_region1,132860.67958412564
cap_transmission_region1_region2,24.68252
cap_transmission_region1_region5,5.0646078
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1496050.32
cap_wind_region2,78.436245
gen_wind_region2,773792.69902391
cap_storage_energy_region2,654.37336
cap_storage_power_region2,100.0
cap_transmission_region2_region3,23.96387
cap_baseload_region3,36.029449
gen_baseload_region3,901202.2171140001
cap_peaking_region3,62.146717
gen_peaking_region3,560314.1081713375
cap_transmission_region3_region4,74.547704
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1430897.65
cap_transmission_region4_region5,14.372296
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,991671.5900000001
cap_wind_region5,102.68123
gen_wind_region5,1091251.39517
cap_storage_energy_region5,2033.5204
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,55.647352999999995
cap_peaking_total,72.2759435835209
cap_wind_total,181.1174725612418
cap_storage_energy_total,2687.893838890142
cap_storage_power_total,300.0
cap_transmission_total,142.63099786593864
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1377130.307449933
gen_peaking_total,693174.8006750178
gen_wind_total,1865043.9902123509
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3918619.5599999996
emissions_total,552695973.1513203
cost_install,178331.9633021749
cost_operate,31158.766569937434
cost_total,209490.72987211234
num_ts,720.0
sum_ts_weights,26304.0
solution_time,69.377354
