,output
cap_baseload_region1,31.254121
gen_baseload_region1,811948.5267695
cap_peaking_region1,1.4600903
gen_peaking_region1,19577.798819081003
cap_transmission_region1_region2,32.714187
cap_transmission_region1_region5,0.0
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1492952.96
cap_wind_region2,52.059491
gen_wind_region2,499260.56016667
cap_storage_energy_region2,1584.9364
cap_storage_power_region2,100.0
cap_transmission_region2_region3,16.34984
cap_baseload_region3,50.24
gen_baseload_region3,1263149.695698
cap_peaking_region3,36.25968
gen_peaking_region3,252638.93585606804
cap_transmission_region3_region4,76.67016
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1422221.23
cap_transmission_region4_region5,12.24984
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,982379.75
cap_wind_region5,107.68731
gen_wind_region5,1053208.8641845
cap_storage_energy_region5,3533.4445
cap_storage_power_region5,100.0
cap_transmission_region5_region6,3.0256612
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,3.0256634
gen_peaking_region6,16490.762921984642
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,81.494121
cap_peaking_total,40.7454337
cap_wind_total,159.7467998918826
cap_storage_energy_total,5118.380956517363
cap_storage_power_total,300.0
cap_transmission_total,141.0097112186435
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,2075098.222387013
gen_peaking_total,288707.4975971337
gen_wind_total,1552469.367511497
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3897553.94
emissions_total,530502644.78390265
cost_install,191796.70429774877
cost_operate,20491.995848400835
cost_total,212288.7001461496
num_ts,720.0
sum_ts_weights,26304.0
solution_time,82.239452
