,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,22,1.0,0.779,21765.967,44.207,0.785,44.992,0.0,0.0,45.79,0.0,9.529,0.0,0.0,0.0,0.0,8.732,45.856,8.598,63.186,45.84,0.0,17.346,28.46,0.0,23.717,-12.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 01:00:00,22,1.0,0.711,20993.653,44.207,1.084,45.291,0.0,-0.0,45.75,0.0,9.19,0.0,0.0,0.0,0.0,8.732,45.856,6.368,60.956,43.61,0.0,17.346,27.69,0.0,22.32,-11.976,0.0,11.973,11.973,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 02:00:00,22,1.0,0.7,20862.165,44.207,1.986,46.193,0.0,-0.0,46.62,0.0,9.159,0.0,0.0,0.0,0.0,8.732,45.856,5.138,59.726,42.38,0.0,17.346,26.77,0.0,21.669,-12.245,0.0,23.35,23.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 03:00:00,22,1.0,0.791,21897.781,44.207,3.189,47.396,0.0,-0.0,48.57,0.0,9.39,0.0,0.0,0.0,0.0,8.216,45.856,6.524,60.596,43.25,0.0,17.346,26.17,0.0,20.82,-11.996,0.0,34.984,34.984,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 04:00:00,22,1.0,1.064,25016.922,44.207,3.189,47.396,0.0,-0.0,53.15,0.0,8.952,0.0,0.0,0.0,0.0,3.198,45.856,14.322,63.376,46.03,0.0,17.346,26.56,0.0,20.207,-10.993,0.0,46.38,46.38,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 05:00:00,22,1.0,1.314,27883.441,44.207,3.189,47.396,0.0,-0.0,57.98,0.0,10.326,0.0,0.0,0.0,0.0,-0.258,45.856,21.488,67.086,49.74,0.0,17.346,30.26,0.0,20.415,-7.5,0.0,56.824,56.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,22,1.0,1.518,30205.286,44.207,3.189,47.396,0.0,0.0,61.47,0.0,12.142,0.0,0.0,0.0,0.0,-1.932,45.856,25.992,69.916,52.57,0.0,17.346,35.62,0.0,22.867,-5.894,0.0,63.949,63.949,-1.301,0.0,1.301,0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,22,1.0,1.64,31599.446,44.207,3.189,47.396,0.0,0.0,63.4,0.0,14.194,0.0,0.0,0.0,0.0,-1.81,45.856,27.528,71.574,54.31,0.0,17.264,39.12,0.0,24.047,-5.441,0.0,69.548,69.548,-3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0
2020-07-01 08:00:00,22,1.0,1.635,31544.864,44.207,3.189,47.396,0.0,-0.0,64.95,0.0,15.881,0.0,0.0,0.0,0.0,-1.673,45.856,27.392,71.574,54.91,0.0,16.664,40.79,0.0,25.028,-4.152,0.0,74.716,74.716,-3.25,0.0,3.25,0.0,-0.0,0.0,0.0,0.0
2020-07-01 09:00:00,22,1.0,1.655,31778.789,44.207,3.189,47.396,0.0,0.0,66.36,0.0,16.706,0.0,0.0,0.0,0.0,-2.258,45.856,27.976,71.574,55.16,0.0,16.414,41.46,0.0,26.122,-4.326,0.0,78.66,78.66,-3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0
