,output
cap_baseload_region1,0.0
gen_baseload_region1,0.0
cap_peaking_region1,20.016716
gen_peaking_region1,189883.23735198498
cap_transmission_region1_region2,10.057144
cap_transmission_region1_region5,10.057122
cap_transmission_region1_region6,0.0
peak_unmet_region2,31.988328
gen_unmet_region2,14601.733895829999
demand_region2,1466877.84
cap_wind_region2,106.58382
gen_wind_region2,1079137.28983131
cap_storage_energy_region2,661.33044
cap_storage_power_region2,100.0
cap_transmission_region2_region3,28.71168
cap_baseload_region3,31.788628
gen_baseload_region3,784611.1179869001
cap_peaking_region3,60.323658
gen_peaking_region3,672793.636103185
cap_transmission_region3_region4,67.112837
peak_unmet_region4,26.970837
gen_unmet_region4,7212.5493831799995
demand_region4,1448941.8299999998
cap_transmission_region4_region5,10.163674
peak_unmet_region5,26.420116
gen_unmet_region5,5842.94992001
demand_region5,990823.285
cap_wind_region5,117.52375
gen_wind_region5,1174856.9270923499
cap_storage_energy_region5,746.80861
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,31.788828
cap_peaking_total,80.340474
cap_wind_total,224.10767
cap_storage_energy_total,1408.13915
cap_storage_power_total,300.0
cap_transmission_total,126.10265700000001
peak_unmet_total,85.37928099999999
peak_unmet_systemwide,69.093707
gen_baseload_total,784614.0784209002
gen_peaking_total,862677.1282103539
gen_wind_total,2253994.566654341
gen_solar_total,0.0
gen_unmet_total,27657.23319902
demand_total,3906642.955
cost_install,0.0
cost_operate,200072.85121063344
cost_total,200072.85121063344
num_ts,26328.0
sum_ts_weights,26328.0
solution_time,478.203494
