,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,1.0,0.587,13112.439,7.379,0.0,17.622,-10.243,-0.0,42.96,0.0,5.362,0.0,0.0,0.0,0.0,-19.976,37.499,10.342,27.865,39.3,0.0,-11.435,26.4,0.0,50.039,-1.961,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,1.0,0.454,11592.925,7.379,0.0,17.622,-10.243,-0.0,42.88,0.0,6.78,0.0,0.0,0.0,0.0,-18.478,37.499,6.543,25.565,37.0,0.0,-11.435,24.56,0.0,50.161,-3.923,0.0,1.863,1.863,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 02:00:00,1.0,0.369,10623.665,7.379,0.0,17.622,-10.243,-0.0,43.52,0.0,9.074,0.0,0.0,0.0,0.0,-16.824,37.499,4.12,24.795,36.23,0.0,-11.435,23.68,0.0,49.581,-4.223,0.0,5.589,5.589,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 03:00:00,1.0,0.394,10914.994,7.379,0.0,17.622,-10.243,-0.0,45.46,0.0,11.185,0.0,0.0,0.0,0.0,-16.653,37.499,4.848,25.695,37.13,0.0,-11.435,23.23,0.0,48.981,-4.073,0.0,9.601,9.601,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 04:00:00,1.0,0.505,12177.58,7.379,0.0,17.622,-10.243,-0.0,51.32,0.0,15.879,0.0,0.0,0.0,0.0,-17.819,37.499,8.005,27.685,39.12,0.0,-11.435,23.73,0.0,45.838,-0.43,0.0,13.47,13.47,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 05:00:00,1.0,0.725,14690.533,7.379,0.0,17.622,-10.243,-0.0,56.66,0.0,18.386,0.0,0.0,0.0,0.0,-20.652,37.499,14.287,31.135,42.57,0.0,-11.435,28.17,0.0,45.869,3.979,0.0,13.879,13.879,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,1.0,1.055,18465.331,7.379,2.451,17.622,-7.793,-0.0,60.02,0.0,18.04,0.0,0.0,0.0,0.0,-24.358,37.499,21.274,34.415,45.85,0.0,-11.435,33.63,0.0,43.652,9.206,0.0,9.69,9.69,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,1.0,1.455,23033.15,7.379,10.626,17.622,0.383,-0.0,61.73,0.0,18.956,0.0,0.0,0.0,0.0,-25.152,37.499,24.518,36.865,48.3,0.0,-11.435,37.42,0.0,48.472,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 08:00:00,1.0,1.366,22011.259,7.379,8.743,17.622,-1.5,-0.0,63.55,0.0,22.857,0.0,0.0,0.0,0.0,-23.071,37.499,23.846,38.275,49.71,0.0,-11.435,39.3,0.0,52.235,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 09:00:00,1.0,1.268,20893.967,7.379,10.888,17.622,0.644,-0.0,65.06,0.0,30.355,0.0,0.0,0.0,0.0,-17.083,37.499,18.908,39.325,50.76,0.0,-11.435,39.96,0.0,50.75,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
