,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,3,1.0,0.957,15474.853,0.0,1.373,10.057,-8.684,0.0,41.135,0.0,14.433,0.0,0.0,0.0,0.0,-16.645,31.789,21.42,36.564,46.727,0.0,-10.164,28.871,0.0,47.719,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,3,1.0,0.831,14036.646,0.0,0.0,10.057,-10.057,0.0,41.046,0.0,14.37,0.0,0.0,0.0,0.0,-16.619,31.789,19.197,34.367,44.531,0.0,-10.164,27.909,0.0,48.776,-0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,3,1.0,0.818,13885.039,0.0,0.0,10.057,-10.057,0.0,41.859,0.0,14.337,0.0,0.0,0.0,0.0,-17.465,31.789,18.818,33.142,43.305,0.0,-10.164,26.969,0.0,49.541,-2.351,0.0,0.614,0.614,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 03:00:00,3,1.0,0.908,14913.552,0.0,0.0,10.057,-10.057,0.0,43.903,0.0,14.644,0.0,0.0,0.0,0.0,-19.201,31.789,21.39,33.977,44.141,0.0,-10.164,26.403,0.0,50.222,-3.598,0.0,2.848,2.848,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 04:00:00,3,1.0,1.146,17630.184,0.0,0.0,10.057,-10.057,0.0,48.631,0.0,15.358,0.0,0.0,0.0,0.0,-23.216,31.789,28.181,36.754,46.917,0.0,-10.164,26.73,0.0,50.806,-3.855,0.0,6.266,6.266,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 05:00:00,3,1.0,1.365,20134.7,0.0,0.0,10.057,-10.057,0.0,53.547,0.0,17.699,0.0,0.0,0.0,0.0,-25.791,31.789,34.442,40.44,50.604,0.0,-10.164,30.215,0.0,52.462,-2.026,0.0,9.929,9.929,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2020-07-01 06:00:00,3,1.0,1.49,21564.815,0.0,0.0,10.057,-10.057,0.0,57.068,0.0,20.544,0.0,0.0,0.0,0.0,-26.467,31.789,38.018,43.339,53.503,0.0,-10.164,35.52,0.0,55.397,0.343,0.0,11.853,11.853,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,3,1.0,1.498,21652.932,0.0,0.0,10.057,-10.057,0.0,58.948,0.0,24.022,0.0,0.0,0.0,0.0,-24.869,31.789,38.238,45.157,55.321,0.0,-10.164,39.339,0.0,59.817,-0.257,0.0,11.492,11.492,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 08:00:00,3,1.0,1.4,20531.21,0.0,0.0,10.057,-10.057,0.0,60.493,0.0,29.147,0.0,0.0,0.0,0.0,-21.289,31.789,35.434,45.934,56.097,0.0,-10.164,41.206,0.0,63.908,-2.481,0.0,11.736,11.736,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 09:00:00,3,1.0,1.311,19522.93,0.0,0.0,10.057,-10.057,0.0,61.893,0.0,33.459,0.0,0.0,0.0,0.0,-18.377,31.789,32.913,46.325,56.488,0.0,-10.164,41.928,0.0,66.984,-4.835,0.0,14.093,14.093,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
