,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,23,1.0,0.69,17020.899,15.92,6.553,22.473,0.0,-0.0,44.63,0.0,12.337,0.0,0.0,0.0,0.0,-9.819,48.071,4.003,42.255,40.15,0.0,2.105,26.89,0.0,24.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,23,1.0,0.622,16248.917,15.92,6.553,22.473,0.0,-0.0,44.5,0.0,11.399,0.0,0.0,-0.0,-0.0,-10.627,48.071,2.074,39.517,37.95,0.0,1.567,25.46,0.0,23.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 02:00:00,23,1.0,0.625,16283.848,15.92,6.553,22.473,0.0,0.0,45.23,0.0,10.729,0.0,0.0,-0.0,-0.0,-12.028,48.071,2.161,38.204,36.9,0.0,1.304,24.53,0.0,23.226,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 03:00:00,23,1.0,0.75,17704.885,15.92,6.553,22.473,0.0,0.0,47.44,0.0,10.201,0.0,0.0,-0.0,-0.0,-14.765,48.071,5.713,39.019,37.78,0.0,1.239,24.07,0.0,22.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 04:00:00,23,1.0,1.182,22651.562,15.92,6.553,22.473,0.0,0.0,52.79,0.0,9.431,-2.649,0.0,-0.0,-0.0,-23.535,48.071,18.08,42.616,40.4,0.0,2.216,24.4,0.0,22.184,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 05:00:00,23,1.0,1.492,26186.873,15.92,6.553,22.473,-0.0,0.0,57.93,0.0,8.912,1.347,0.0,2.517,2.517,-25.198,48.071,26.918,49.792,43.98,0.0,5.812,27.88,0.0,22.068,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,23,1.0,1.748,29113.23,15.92,6.553,22.473,-0.0,0.0,61.39,0.0,14.171,-0.452,0.0,1.099,1.099,-25.198,48.071,34.234,57.108,47.0,0.0,10.108,33.17,0.0,23.062,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,23,1.0,1.802,29729.252,15.92,6.553,22.473,0.0,0.0,63.11,0.0,13.987,1.452,0.0,1.528,1.528,-25.198,48.071,35.774,58.648,49.08,0.0,9.568,37.41,0.0,27.842,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 08:00:00,23,1.0,1.741,29029.417,15.92,6.553,22.473,-0.0,0.0,64.73,0.0,17.781,0.0,0.0,-0.0,-0.0,-24.475,48.071,34.025,57.621,50.26,0.0,7.361,39.54,0.0,32.179,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 09:00:00,23,1.0,1.749,29120.474,15.92,6.553,22.473,0.0,0.0,66.13,0.0,19.565,0.0,0.0,-0.0,-0.0,-24.091,48.071,34.252,58.232,51.03,0.0,7.202,40.26,0.0,33.058,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
