,output
cap_baseload_region1,18.53075
gen_baseload_region1,467097.8006583
cap_peaking_region1,25.490597
gen_peaking_region1,306331.66124560003
cap_transmission_region1_region2,35.833564
cap_transmission_region1_region5,8.187782
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1506420.88
cap_wind_region2,69.320063
gen_wind_region2,617148.27528324
cap_storage_energy_region2,697.70872
cap_storage_power_region2,100.0
cap_transmission_region2_region3,16.923204
cap_baseload_region3,42.29901
gen_baseload_region3,1031480.0936148001
cap_peaking_region3,51.222499
gen_peaking_region3,344236.14674736
cap_transmission_region3_region4,88.512214
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1458802.4100000001
cap_transmission_region4_region5,13.547786
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,990536.3700000001
cap_wind_region5,122.176
gen_wind_region5,1201381.9948308002
cap_storage_energy_region5,1345.094
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,60.829759878596
cap_peaking_total,76.7130974028597
cap_wind_total,191.49606228594848
cap_storage_energy_total,2042.8028025282522
cap_storage_power_total,300.0
cap_transmission_total,163.0045496332705
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1498577.8917095442
gen_peaking_total,650567.812547259
gen_wind_total,1818530.2248466993
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3955759.66
emissions_total,559942699.3090085
cost_install,191950.89953708494
cost_operate,30274.904638050666
cost_total,222225.80417513562
num_ts,720.0
sum_ts_weights,26280.0
solution_time,35.856962
