,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,21,1.0,0.301,12014.483,39.454,0.0,39.454,-0.0,0.0,35.43,0.0,10.508,0.0,0.0,0.0,0.0,14.532,20.618,0.0,35.15,50.99,0.0,-15.84,29.66,0.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,21,1.0,0.263,10492.412,39.454,0.0,39.454,-0.0,-0.0,35.4,0.0,10.973,0.0,0.0,0.0,0.0,15.027,13.008,0.0,28.035,48.77,0.0,-20.735,29.05,0.0,49.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,21,1.0,0.261,10412.604,39.454,0.0,39.454,-0.0,0.0,36.31,0.0,10.982,0.0,0.0,0.0,0.0,14.127,12.609,0.0,26.735,47.47,0.0,-20.735,28.13,0.0,48.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 03:00:00,21,1.0,0.277,11057.042,39.454,0.0,39.454,-0.0,-0.0,38.26,0.0,10.58,0.0,0.0,0.0,0.0,11.774,15.831,0.0,27.605,48.34,0.0,-20.735,27.5,0.0,48.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 04:00:00,21,1.0,0.368,14703.83,39.454,0.0,39.454,-0.0,0.0,42.64,0.0,9.758,-10.121,0.0,0.0,0.0,-3.55,34.065,0.0,30.515,51.25,0.0,-20.735,27.87,0.0,48.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 05:00:00,21,1.0,0.376,15034.03,39.454,0.0,39.454,-0.0,-0.0,47.4,0.0,10.3,-3.815,0.0,9.615,9.615,-1.461,35.716,0.0,34.255,54.99,0.0,-20.735,31.46,0.0,52.195,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 06:00:00,21,1.0,0.376,15034.03,39.454,0.0,39.454,-0.0,0.0,50.9,0.0,11.864,0.882,0.0,13.239,13.239,1.299,35.716,0.0,37.015,57.75,0.0,-20.735,36.8,0.0,57.535,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 07:00:00,21,1.0,0.376,15034.03,39.454,0.0,39.454,-0.0,-0.0,52.87,0.0,16.058,0.287,0.0,12.311,12.311,2.929,35.716,0.0,38.645,59.38,0.0,-20.735,40.26,0.0,60.995,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 08:00:00,21,1.0,0.376,15034.03,39.454,0.0,39.454,-0.0,0.0,54.37,0.0,16.256,2.059,0.0,12.009,12.009,3.399,35.716,0.0,39.115,59.85,0.0,-20.735,41.9,0.0,62.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 09:00:00,21,1.0,0.376,15034.03,39.454,0.0,39.454,-0.0,-0.0,55.77,0.0,15.267,4.578,0.0,9.842,9.842,3.529,35.716,0.0,39.245,59.98,0.0,-20.735,42.57,0.0,63.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
