,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,28,1.0,0.321,12837.222,33.367,0.0,38.646,-5.279,0.0,35.43,0.0,7.788,0.0,0.0,0.0,0.0,11.003,30.82,0.0,41.823,50.99,0.0,-9.167,29.66,0.0,44.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,28,1.0,0.295,11804.149,33.367,0.0,41.601,-8.235,0.0,35.4,0.0,8.133,-3.331,0.0,0.0,0.0,11.003,25.654,0.0,36.658,48.77,0.0,-12.112,29.05,0.0,49.397,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,28,1.0,0.289,11544.149,33.367,0.0,43.32,-9.954,0.0,36.31,0.0,8.14,-4.146,0.0,3.164,3.164,11.003,24.354,0.0,35.358,47.47,0.0,-12.112,28.13,0.0,50.196,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 03:00:00,28,1.0,0.293,11718.149,33.367,0.0,43.32,-9.954,0.0,38.26,0.0,7.842,-1.898,0.0,7.103,7.103,11.003,25.224,0.0,36.228,48.34,0.0,-12.112,27.5,0.0,49.566,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 04:00:00,28,1.0,0.323,12918.455,33.367,0.0,43.32,-9.954,0.0,42.64,0.0,7.232,0.0,0.0,8.906,8.906,7.912,31.226,0.0,39.138,51.25,0.0,-12.112,27.87,0.0,49.936,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 05:00:00,28,1.0,0.364,14538.058,33.367,0.0,43.32,-9.954,-0.0,47.4,0.0,7.634,0.0,0.0,8.906,8.906,3.554,39.324,0.0,42.878,54.99,0.0,-12.112,31.46,0.0,53.526,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,28,1.0,0.389,15558.269,33.367,0.0,43.32,-9.954,0.0,50.9,0.0,8.793,0.0,0.0,8.906,8.906,1.213,44.425,0.0,45.638,57.75,0.0,-12.112,36.8,0.0,58.866,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 07:00:00,28,1.0,0.392,15656.576,33.367,0.0,43.32,-9.954,0.0,52.87,0.0,11.901,0.0,0.0,8.906,8.906,2.351,44.916,0.0,47.268,59.38,0.0,-12.112,40.26,0.0,62.326,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 08:00:00,28,1.0,0.401,16021.099,33.367,0.0,43.32,-9.954,0.0,54.37,0.0,12.049,0.0,0.0,8.906,8.906,0.999,46.739,0.0,47.738,59.85,0.0,-12.112,41.9,0.0,63.966,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 09:00:00,28,1.0,0.412,16473.813,33.367,0.0,43.32,-9.954,0.0,55.77,0.0,11.315,0.0,0.0,8.906,8.906,-1.135,49.002,0.0,47.868,59.98,0.0,-12.112,42.57,0.0,64.636,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 10:00:00,28,1.0,0.411,16414.556,33.367,0.0,43.32,-9.954,0.0,55.74,0.0,11.921,0.0,0.0,8.906,8.906,-0.499,48.706,0.0,48.208,60.32,0.0,-12.112,43.02,0.0,65.086,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 11:00:00,28,1.0,0.396,15808.938,33.367,0.0,43.32,-9.954,0.0,54.71,0.0,12.899,0.0,0.0,8.906,8.906,1.51,45.678,0.0,47.188,59.3,0.0,-12.112,43.2,0.0,65.266,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
