,output
cap_baseload_region1,33.017463
gen_baseload_region1,863690.9770563501
cap_peaking_region1,20.002197
gen_peaking_region1,176191.695264709
cap_transmission_region1_region2,43.018573
cap_transmission_region1_region5,10.001084
cap_transmission_region1_region6,0.0
peak_unmet_region2,18.037348
gen_unmet_region2,547.93073193
demand_region2,1470332.325
cap_wind_region2,29.135741
gen_wind_region2,279729.3474271555
cap_storage_energy_region2,1147.7488
cap_storage_power_region2,100.0
cap_transmission_region2_region3,10.00107
cap_baseload_region3,29.962635
gen_baseload_region3,747631.8520407288
cap_peaking_region3,36.83214
gen_peaking_region3,263515.308276204
cap_transmission_region3_region4,56.793705
peak_unmet_region4,53.437446
gen_unmet_region4,7461.6905065
demand_region4,1437613.1199999999
cap_transmission_region4_region5,29.756295
peak_unmet_region5,7.2538616
gen_unmet_region5,34.42770258
demand_region5,994993.315
cap_wind_region5,134.6762
gen_wind_region5,1592952.34623614
cap_storage_energy_region5,1830.19
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,62.980198
cap_peaking_total,56.83443700000001
cap_wind_total,163.812041
cap_storage_energy_total,2977.9389
cap_storage_power_total,300.0
cap_transmission_total,149.570927
peak_unmet_total,78.7286556
peak_unmet_systemwide,58.1464516
gen_baseload_total,1611324.5022933288
gen_peaking_total,439707.003540913
gen_wind_total,1872682.1407720214
gen_solar_total,0.0
gen_unmet_total,8044.04894101
demand_total,3902938.76
cost_install,0.0
cost_operate,71723.28983770721
cost_total,71723.28983770721
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,276.335078
