,output
cap_baseload_region1,25.870861
gen_baseload_region1,663187.9791376
cap_peaking_region1,21.149067
gen_peaking_region1,215626.41042066144
cap_transmission_region1_region2,36.445407
cap_transmission_region1_region5,10.57452
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470332.325028
cap_wind_region2,48.724917
gen_wind_region2,467803.0724196
cap_storage_energy_region2,992.68821
cap_storage_power_region2,100.0
cap_transmission_region2_region3,13.544858
cap_baseload_region3,44.761911
gen_baseload_region3,1128694.769997
cap_peaking_region3,38.843114
gen_peaking_region3,296458.88271061
cap_transmission_region3_region4,70.060167
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1437613.119528
cap_transmission_region4_region5,10.065167
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,994993.3150240001
cap_wind_region5,100.48732
gen_wind_region5,1146699.125668
cap_storage_energy_region5,1711.8882
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,70.63277190548325
cap_peaking_total,59.9921841856354
cap_wind_total,149.21223575739208
cap_storage_energy_total,2704.57658383976
cap_storage_power_total,300.0
cap_transmission_total,140.6901189412229
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1791882.7468620816
gen_peaking_total,512085.30587889807
gen_wind_total,1614502.1665365375
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3902938.75958
emissions_total,563210657.6445446
cost_install,178814.14100899824
cost_operate,26894.222774170576
cost_total,205708.3637831688
num_ts,720.0
sum_ts_weights,26304.0
solution_time,52.909892
