,output
cap_baseload_region1,39.763717
gen_baseload_region1,1039877.717596
cap_peaking_region1,15.926145
gen_peaking_region1,126804.5192935528
cap_transmission_region1_region2,47.726792
cap_transmission_region1_region5,7.9630488
cap_transmission_region1_region6,0.0
peak_unmet_region2,16.78244
gen_unmet_region2,1405.8872908829999
demand_region2,1470332.325
cap_wind_region2,21.985103
gen_wind_region2,211076.78417668352
cap_storage_energy_region2,642.7238
cap_storage_power_region2,100.0
cap_transmission_region2_region3,6.9117258
cap_baseload_region3,38.869431
gen_baseload_region3,989575.5909817999
cap_peaking_region3,40.583452
gen_peaking_region3,263714.5890021884
cap_transmission_region3_region4,72.541157
peak_unmet_region4,22.577686
gen_unmet_region4,976.1747736000001
demand_region4,1437613.1199999999
cap_transmission_region4_region5,16.618843
peak_unmet_region5,17.77782
gen_unmet_region5,342.95898644
demand_region5,994993.315
cap_wind_region5,108.56109
gen_wind_region5,1293290.6290978799
cap_storage_energy_region5,1707.129
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.63324800000001
cap_peaking_total,56.509697
cap_wind_total,130.546293
cap_storage_energy_total,2349.8529
cap_storage_power_total,300.0
cap_transmission_total,151.76176660000002
peak_unmet_total,57.137946
peak_unmet_systemwide,42.571118
gen_baseload_total,2029454.9489743097
gen_peaking_total,390519.1082957412
gen_wind_total,1504367.8637305247
gen_solar_total,0.0
gen_unmet_total,2725.021050923
demand_total,3902938.76
cost_install,0.0
cost_operate,40177.39337657018
cost_total,40177.39337657018
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,598.111687
