,output
cap_baseload_region1,35.153604
gen_baseload_region1,906410.0155167097
cap_peaking_region1,6.6323035
gen_peaking_region1,60330.504372933705
cap_transmission_region1_region2,39.918797
cap_transmission_region1_region5,2.5443127
cap_transmission_region1_region6,0.0
peak_unmet_region2,17.863297
gen_unmet_region2,666.30882705
demand_region2,1470332.325
cap_wind_region2,48.132499
gen_wind_region2,462115.32901266083
cap_storage_energy_region2,496.51961
cap_storage_power_region2,100.0
cap_transmission_region2_region3,14.840984
cap_baseload_region3,37.249016
gen_baseload_region3,912936.5031320497
cap_peaking_region3,50.551968
gen_peaking_region3,310169.5439692602
cap_transmission_region3_region4,74.17
peak_unmet_region4,25.35
gen_unmet_region4,1497.5939798
demand_region4,1437613.1199999999
cap_transmission_region4_region5,17.72
peak_unmet_region5,27.746829
gen_unmet_region5,1008.8586138100001
demand_region5,994993.315
cap_wind_region5,110.40676
gen_wind_region5,1273478.5983315401
cap_storage_energy_region5,2022.6627
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,72.40272
cap_peaking_total,57.184371500000005
cap_wind_total,158.53935900000002
cap_storage_energy_total,2519.1824100000003
cap_storage_power_total,300.0
cap_transmission_total,149.1942937
peak_unmet_total,70.960126
peak_unmet_systemwide,67.090126
gen_baseload_total,1819348.0258266362
gen_peaking_total,370500.1679082711
gen_wind_total,1735594.3363865577
gen_solar_total,0.0
gen_unmet_total,3172.76142066
demand_total,3902938.76
cost_install,0.0
cost_operate,41112.75449970281
cost_total,41112.75449970281
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,328.214666
