,output
cap_baseload_region1,38.920401
gen_baseload_region1,1013787.3816979999
cap_peaking_region1,9.3373353
gen_peaking_region1,136776.67451405997
cap_transmission_region1_region2,48.662929
cap_transmission_region1_region5,0.40519811
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1473610.7199999997
cap_wind_region2,33.431065
gen_wind_region2,316855.97918086
cap_storage_energy_region2,111.19452
cap_storage_power_region2,100.0
cap_transmission_region2_region3,12.046206
cap_baseload_region3,39.667999
gen_baseload_region3,969399.3088805
cap_peaking_region3,32.351687
gen_peaking_region3,286530.03977847996
cap_transmission_region3_region4,65.311397
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1452028.6
cap_transmission_region4_region5,20.848603
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,991384.95
cap_wind_region5,125.9274
gen_wind_region5,1208915.1452600001
cap_storage_energy_region5,1641.1312
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.5883999568032
cap_peaking_total,41.68903392838
cap_wind_total,159.3584628229192
cap_storage_energy_total,1752.32608591398
cap_storage_power_total,300.0
cap_transmission_total,147.2743325213335
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1983186.6894841448
gen_peaking_total,423306.7729585164
gen_wind_total,1525771.0758674317
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3917024.2699999996
emissions_total,565960053.2475199
cost_install,181143.44979803634
cost_operate,24743.267185006574
cost_total,205886.71698304292
num_ts,720.0
sum_ts_weights,26304.0
solution_time,62.306003
