,output
cap_baseload_region1,26.677022
gen_baseload_region1,701712.386688
cap_peaking_region1,19.451945
gen_peaking_region1,220940.56672298998
cap_transmission_region1_region2,38.014343
cap_transmission_region1_region5,8.1146173
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1483038.77
cap_wind_region2,43.453558
gen_wind_region2,438896.85423398
cap_storage_energy_region2,485.74098
cap_storage_power_region2,100.0
cap_transmission_region2_region3,19.275
cap_baseload_region3,45.81
gen_baseload_region3,1172460.4510660002
cap_peaking_region3,50.58
gen_peaking_region3,305281.23135024996
cap_transmission_region3_region4,77.115
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1471217.0899999999
cap_transmission_region4_region5,9.385
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,990711.04
cap_wind_region5,113.99989
gen_wind_region5,1118037.3533623
cap_storage_energy_region5,1889.5889
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,72.487022
cap_peaking_total,70.03194499061306
cap_wind_total,157.45344787609943
cap_storage_energy_total,2375.3300030490896
cap_storage_power_total,300.0
cap_transmission_total,151.90396004350484
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1874172.8377181038
gen_peaking_total,526221.7978934483
gen_wind_total,1556934.1613721533
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3944966.9
emissions_total,585323287.9209033
cost_install,188020.7412542571
cost_operate,27800.45110771205
cost_total,215821.19236196915
num_ts,720.0
sum_ts_weights,26304.0
solution_time,78.737194
