,output
cap_baseload_region1,37.100647
gen_baseload_region1,940956.8234509999
cap_peaking_region1,28.475464
gen_peaking_region1,300450.4547531713
cap_transmission_region1_region2,51.338391
cap_transmission_region1_region5,14.237719
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1483470.71
cap_wind_region2,23.039062
gen_wind_region2,213438.33022904
cap_storage_energy_region2,341.19642
cap_storage_power_region2,100.0
cap_transmission_region2_region3,7.1392942
cap_baseload_region3,46.877347
gen_baseload_region3,1187270.241558
cap_peaking_region3,34.398588
gen_peaking_region3,181563.05239711
cap_transmission_region3_region4,74.136641
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1449597.26
cap_transmission_region4_region5,12.363359
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,986287.02
cap_wind_region5,99.327447
gen_wind_region5,1106600.3213938999
cap_storage_energy_region5,1444.9385
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,83.97799398085118
cap_peaking_total,62.87405440560539
cap_wind_total,122.3665054588677
cap_storage_energy_total,1786.13503407072
cap_storage_power_total,300.0
cap_transmission_total,159.21540372683612
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,2128227.0645083166
gen_peaking_total,482013.5148552875
gen_wind_total,1320038.6058121242
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3919354.9899999998
emissions_total,618450813.9818643
cost_install,186983.1332419705
cost_operate,27522.916043251265
cost_total,214506.04928522176
num_ts,720.0
sum_ts_weights,26304.0
solution_time,96.270141
