,output
cap_baseload_region1,37.100647
gen_baseload_region1,951447.3133762998
cap_peaking_region1,28.475464
gen_peaking_region1,243575.0189656904
cap_transmission_region1_region2,51.338391
cap_transmission_region1_region5,14.237719
cap_transmission_region1_region6,0.0
peak_unmet_region2,12.959338
gen_unmet_region2,322.97170106
demand_region2,1470689.425
cap_wind_region2,23.039062
gen_wind_region2,232998.041631178
cap_storage_energy_region2,341.19642
cap_storage_power_region2,100.0
cap_transmission_region2_region3,7.1392942
cap_baseload_region3,46.877347
gen_baseload_region3,1171604.2480191998
cap_peaking_region3,34.398588
gen_peaking_region3,167394.4447876988
cap_transmission_region3_region4,74.136641
peak_unmet_region4,26.376718
gen_unmet_region4,349.41063536999997
demand_region4,1472070.2850000001
cap_transmission_region4_region5,12.363359
peak_unmet_region5,13.041185
gen_unmet_region5,73.13592059999999
demand_region5,997097.365
cap_wind_region5,99.327447
gen_wind_region5,1189605.39302166
cap_storage_energy_region5,1444.9385
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,83.978094
cap_peaking_total,62.874151999999995
cap_wind_total,122.36660900000001
cap_storage_energy_total,1786.13502
cap_storage_power_total,300.0
cap_transmission_total,159.2156042
peak_unmet_total,52.377241
peak_unmet_systemwide,51.467241
gen_baseload_total,2123053.4819932966
gen_peaking_total,410969.4637533892
gen_wind_total,1422603.961550451
gen_solar_total,0.0
gen_unmet_total,745.5182570299999
demand_total,3939857.075
cost_install,0.0
cost_operate,29483.936809609164
cost_total,29483.936809609164
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,569.927122
