,output
cap_baseload_region1,29.191888
gen_baseload_region1,764426.0075624001
cap_peaking_region1,20.339127
gen_peaking_region1,171176.36773485292
cap_transmission_region1_region2,42.501722
cap_transmission_region1_region5,7.0292822
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470689.425
cap_wind_region2,37.404682
gen_wind_region2,378280.055626858
cap_storage_energy_region2,498.00476
cap_storage_power_region2,100.0
cap_transmission_region2_region3,15.38
cap_baseload_region3,49.140701
gen_baseload_region3,1229920.5460970001
cap_peaking_region3,42.79
gen_peaking_region3,198389.64292763962
cap_transmission_region3_region4,76.550701
peak_unmet_region4,1.8599995
gen_unmet_region4,19.1299865
demand_region4,1472070.2850000001
cap_transmission_region4_region5,9.9492995
peak_unmet_region5,4.5026526
gen_unmet_region5,11.430553880000001
demand_region5,997097.365
cap_wind_region5,114.43852
gen_wind_region5,1221429.2081891901
cap_storage_energy_region5,2193.6872
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.332689
cap_peaking_total,63.129227
cap_wind_total,151.843302
cap_storage_energy_total,2691.69206
cap_storage_power_total,300.0
cap_transmission_total,151.4112047
peak_unmet_total,6.3626521
peak_unmet_systemwide,4.5026526
gen_baseload_total,1994347.8969579712
gen_peaking_total,369566.01066249254
gen_wind_total,1599709.6149106936
gen_solar_total,0.0
gen_unmet_total,30.560540380000003
demand_total,3939857.075
cost_install,0.0
cost_operate,23101.99747384093
cost_total,23101.99747384093
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,601.21986
