,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,-0.0,44.34,0.0,3.597,-10.352,0.0,0.0,0.0,-11.769,39.668,0.0,27.899,40.51,0.0,-12.611,26.16,0.0,39.176,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,-0.0,44.25,0.0,3.835,-10.956,0.0,9.834,9.834,-12.046,39.668,0.0,27.622,38.21,0.0,-10.588,24.32,0.0,38.546,-3.233,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,-0.0,44.9,0.0,4.821,-11.293,0.0,20.243,20.243,-12.046,39.668,0.0,27.622,37.44,0.0,-9.818,23.44,0.0,38.282,-4.619,0.0,3.071,3.071,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 03:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,-0.0,46.84,0.0,4.473,-9.005,0.0,30.971,30.971,-12.046,39.668,0.0,27.622,38.33,0.0,-10.708,22.98,0.0,37.602,-3.509,0.0,7.459,7.459,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 04:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,0.0,52.7,0.0,5.496,-4.168,0.0,39.525,39.525,-12.046,39.668,0.0,27.622,40.32,0.0,-12.698,23.49,0.0,37.552,-0.958,0.0,10.792,10.792,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 05:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,0.0,58.04,0.0,7.124,-0.0,0.0,43.485,43.485,-11.591,39.668,0.0,28.077,43.78,0.0,-15.703,27.93,0.0,42.173,1.865,0.0,11.703,11.703,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 06:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,0.0,61.4,0.0,8.709,1.319,0.0,43.485,43.485,-12.046,39.668,0.0,27.622,47.05,0.0,-19.428,33.39,0.0,48.129,5.094,0.0,9.74,9.74,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 07:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,0.0,63.1,0.0,11.049,1.709,0.0,42.095,42.095,-11.017,39.668,0.0,28.651,49.5,0.0,-20.849,37.18,0.0,54.275,4.159,0.0,4.378,4.378,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 08:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,0.0,64.92,0.0,11.711,4.287,0.0,40.296,40.296,-9.597,39.668,0.0,30.071,50.92,0.0,-20.849,39.06,0.0,60.314,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 09:00:00,13,1.0,0.393,15717.68,38.92,0.0,39.326,-0.405,0.0,66.44,0.0,11.149,7.409,0.0,35.783,35.783,-8.557,39.668,0.0,31.111,51.96,0.0,-20.849,39.72,0.0,60.974,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
