,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,1.0,1.098,23766.902,38.92,9.337,47.853,0.405,-0.0,43.35,0.0,1.341,0.0,0.0,0.0,0.0,5.843,39.668,10.786,56.297,39.3,0.0,16.997,27.64,0.0,10.238,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,1.0,0.973,22340.153,38.92,9.337,47.853,0.405,-0.0,43.27,0.0,1.541,0.0,0.0,0.0,0.0,6.124,39.668,7.219,53.011,37.0,0.0,16.011,25.81,0.0,9.394,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 02:00:00,1.0,0.946,22033.867,38.92,9.337,47.853,0.405,-0.0,43.92,0.0,1.725,0.0,0.0,0.0,0.0,5.658,39.668,6.453,51.779,36.23,0.0,15.549,24.92,0.0,8.966,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 03:00:00,1.0,1.01,22768.504,38.92,9.337,47.853,0.405,-0.0,45.86,0.0,1.875,0.0,0.0,0.0,0.0,3.868,39.668,8.29,51.826,37.13,0.0,14.696,24.47,0.0,9.369,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 04:00:00,1.0,1.269,25722.618,38.92,9.337,47.853,0.405,-0.0,51.72,0.0,2.601,0.0,0.0,0.0,0.0,-1.267,39.668,15.675,54.076,39.12,0.0,14.956,24.97,0.0,9.608,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 05:00:00,1.0,1.71,30765.045,38.92,9.337,47.853,0.405,-0.0,57.05,0.0,4.376,0.0,0.0,0.0,0.0,-4.821,39.668,28.281,63.128,42.57,0.0,20.558,29.41,0.0,10.88,-2.433,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,1.0,1.836,32205.573,38.92,9.337,47.853,0.405,-0.0,60.42,0.0,6.329,0.0,0.0,0.0,0.0,-6.239,39.668,31.882,65.311,45.85,0.0,19.461,34.87,0.0,15.162,-0.158,0.0,2.312,2.312,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,1.0,1.826,32089.914,38.92,9.337,47.853,0.405,-0.0,62.12,0.0,8.318,0.0,0.0,0.0,0.0,-5.95,39.668,31.593,65.311,48.3,0.0,17.011,38.67,0.0,18.914,2.339,0.0,2.462,2.462,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 08:00:00,1.0,1.828,32110.167,38.92,9.337,48.258,0.0,-0.0,63.94,0.0,9.13,0.0,0.0,0.0,0.0,-6.552,39.668,31.644,64.76,49.71,0.0,15.05,40.55,0.0,25.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01 09:00:00,1.0,1.699,30638.424,38.92,9.337,47.853,0.405,-0.0,65.45,0.0,9.645,0.0,0.0,0.0,0.0,-7.953,39.668,27.964,59.68,50.76,0.0,8.92,41.21,0.0,31.885,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
