,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,12,1.0,0.859,20768.644,40.338,13.562,48.964,4.936,-0.0,42.86,0.0,1.701,0.0,0.0,0.0,0.0,7.805,36.38,0.0,44.185,39.37,0.0,4.815,25.35,0.0,15.599,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,12,1.0,0.744,19456.204,40.338,10.281,41.447,9.173,-0.0,42.75,0.0,1.486,0.0,0.0,0.0,0.0,0.182,36.38,0.0,36.562,37.13,0.0,-0.568,23.77,0.0,15.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,12,1.0,0.7,18958.231,40.338,9.036,42.057,7.318,-0.0,43.44,0.0,1.383,0.0,0.0,0.0,0.0,0.0,36.38,0.0,36.38,36.19,0.0,0.19,22.86,0.0,15.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 03:00:00,12,1.0,0.782,19893.848,40.338,11.375,44.224,7.49,0.0,45.55,0.0,1.326,0.0,0.0,0.0,0.0,0.0,36.38,0.0,36.38,37.08,0.0,-0.7,22.4,0.0,15.61,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 04:00:00,12,1.0,1.052,22981.199,40.338,19.094,52.671,6.761,-0.0,51.09,0.0,1.286,0.0,0.0,0.0,0.0,2.867,36.38,0.0,39.247,39.45,0.0,-0.203,22.79,0.0,16.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 05:00:00,12,1.0,1.48,27870.774,40.338,21.506,52.671,9.173,0.0,56.31,0.0,1.615,0.0,0.0,0.0,0.0,-2.024,36.38,9.812,44.168,42.98,0.0,1.188,26.64,0.0,16.279,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,12,1.0,1.856,32168.008,40.338,21.506,52.671,9.173,0.0,59.74,0.0,2.395,0.0,0.0,0.0,0.0,-4.674,36.38,20.555,52.261,46.1,0.0,6.161,32.0,0.0,16.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 07:00:00,12,1.0,2.104,35004.82,40.338,21.506,52.671,9.173,0.0,61.45,0.0,2.351,0.0,0.0,0.0,0.0,-6.428,36.38,27.647,57.599,48.33,0.0,9.269,36.07,0.0,17.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 08:00:00,12,1.0,2.176,35827.506,40.338,21.506,52.671,9.173,-0.0,63.14,0.0,3.795,0.0,0.0,0.0,0.0,-6.674,36.38,29.704,59.41,49.6,0.0,9.81,38.1,0.0,19.117,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 09:00:00,12,1.0,2.218,36301.139,40.338,21.506,52.671,9.173,0.0,64.59,0.0,4.55,0.0,0.0,0.0,0.0,-7.369,36.38,30.888,59.899,50.48,0.0,9.419,38.8,0.0,20.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 10:00:00,12,1.0,2.226,36390.098,40.338,21.506,52.671,9.173,0.0,64.29,0.0,4.326,0.0,0.0,0.0,0.0,-7.294,36.38,31.111,60.197,51.35,0.0,8.847,39.26,0.0,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 11:00:00,12,1.0,2.152,35553.063,40.338,21.506,52.671,9.173,-0.0,63.27,0.0,3.938,0.0,0.0,0.0,0.0,-6.662,36.38,29.018,58.736,50.45,0.0,8.286,39.45,0.0,21.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 12:00:00,12,1.0,2.032,34182.432,40.338,21.506,52.671,9.173,-0.0,61.96,0.0,3.635,0.0,0.0,0.0,0.0,-5.654,36.38,25.591,56.317,49.56,0.0,6.757,39.0,0.0,23.07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 13:00:00,12,1.0,1.885,32503.068,40.338,21.506,52.671,9.173,-0.0,60.95,0.0,3.399,0.0,0.0,0.0,0.0,-4.88,36.38,21.393,52.893,48.18,0.0,4.713,38.41,0.0,24.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 14:00:00,12,1.0,1.735,30782.604,40.338,21.506,52.671,9.173,-0.0,59.91,0.0,3.276,0.0,0.0,0.0,0.0,-3.964,36.38,17.092,49.508,46.9,0.0,2.608,38.17,0.0,26.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
