,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,26,1.0,0.924,20915.905,26.677,16.046,34.609,8.115,0.0,42.86,0.0,3.885,0.0,0.0,0.0,0.0,-4.367,45.81,0.0,41.443,39.37,0.0,2.073,25.35,0.0,15.162,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 01:00:00,26,1.0,0.819,19709.032,26.677,13.029,31.591,8.115,0.0,42.75,0.0,3.394,0.0,0.0,0.0,0.0,-7.765,45.81,0.0,38.045,37.13,0.0,0.915,23.77,0.0,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 02:00:00,26,1.0,0.865,20236.632,26.677,14.348,32.91,8.115,0.0,43.44,0.0,3.159,0.0,0.0,0.0,0.0,-7.37,45.81,0.0,38.44,36.19,0.0,2.25,22.86,0.0,14.923,-2.427,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 03:00:00,26,1.0,1.044,22278.182,26.677,19.452,38.014,8.115,-0.0,45.55,0.0,3.029,-0.0,0.0,-0.0,-0.0,-4.507,45.81,0.0,41.303,37.08,0.0,4.223,22.4,0.0,15.173,-5.111,0.0,2.306,2.306,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 04:00:00,26,1.0,1.137,23348.577,26.677,19.452,38.014,8.115,-0.0,51.09,0.0,2.937,0.0,0.0,0.0,0.0,-10.138,45.81,2.676,38.348,39.45,0.0,-1.102,22.79,0.0,15.778,0.0,0.0,7.161,7.161,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 05:00:00,26,1.0,1.55,28069.642,26.677,19.452,38.014,8.115,0.0,56.31,0.0,3.689,0.0,0.0,0.0,0.0,-14.606,45.81,14.479,45.682,42.98,0.0,2.702,26.64,0.0,15.823,0.0,0.0,7.161,7.161,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 06:00:00,26,1.0,1.892,31970.52,26.677,19.452,38.014,8.115,-0.0,59.74,0.0,5.471,0.0,0.0,0.0,0.0,-16.255,45.81,24.231,53.786,46.1,0.0,7.686,32.0,0.0,16.199,0.0,0.0,7.161,7.161,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,26,1.0,2.093,34266.102,26.677,19.452,38.014,8.115,0.0,61.45,0.0,5.371,0.0,0.0,0.0,0.0,-18.065,45.81,29.97,57.715,48.33,0.0,9.385,36.07,0.0,17.134,1.436,0.0,7.161,7.161,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 08:00:00,26,1.0,2.081,34130.848,26.677,19.452,38.014,8.115,-0.0,63.14,0.0,8.669,0.0,0.0,0.0,0.0,-16.457,45.81,29.632,58.985,49.6,0.0,9.385,38.1,0.0,18.582,2.018,0.0,5.649,5.649,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 09:00:00,26,1.0,2.102,34372.806,26.677,19.452,38.014,8.115,-0.0,64.59,0.0,10.394,-0.0,0.0,-0.0,-0.0,-16.182,45.81,30.237,59.865,50.48,0.0,9.385,38.8,0.0,19.642,1.658,0.0,3.525,3.525,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 10:00:00,26,1.0,2.14,34805.907,26.677,19.452,38.014,8.115,0.0,64.29,0.0,9.881,0.0,0.0,0.0,0.0,-16.394,45.81,31.319,60.735,51.35,0.0,9.385,39.26,0.0,20.645,1.115,0.0,1.779,1.779,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
