,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,18,1.0,0.657,19497.061,37.101,6.754,35.265,8.589,0.0,43.1,0.0,0.696,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,38.64,0.0,1.098,27.03,0.0,17.343,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 01:00:00,18,1.0,0.42,16795.599,37.101,0.0,37.101,0.0,-0.0,43.01,0.0,0.594,0.0,0.0,0.0,0.0,-5.315,46.877,0.0,41.562,36.34,0.0,5.222,25.2,0.0,21.018,-1.04,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 02:00:00,18,1.0,0.42,16795.599,37.101,0.0,37.101,0.0,0.0,43.66,0.0,0.507,-0.237,0.0,0.0,0.0,-6.29,46.877,0.0,40.587,35.57,0.0,5.017,24.31,0.0,22.667,-3.374,0.0,0.988,0.988,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 03:00:00,18,1.0,0.42,16795.599,37.101,0.0,37.958,-0.858,-0.0,45.6,0.0,0.502,0.0,0.0,0.225,0.225,-7.139,46.877,0.0,39.738,36.46,0.0,3.278,23.86,0.0,24.802,-3.362,0.0,4.194,4.194,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 04:00:00,18,1.0,0.42,16795.599,37.101,0.0,50.661,-13.56,-0.0,51.46,0.0,0.799,-0.0,0.0,0.225,0.225,0.0,46.877,0.0,46.877,38.46,0.0,8.417,24.36,0.0,27.285,2.217,0.0,7.388,7.388,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 05:00:00,18,1.0,0.5,17702.769,37.101,2.268,50.423,-11.054,0.0,56.8,0.0,1.41,0.0,0.0,0.226,0.226,-4.967,46.877,0.0,41.91,41.91,0.0,0.0,28.8,0.0,35.053,4.801,0.0,5.054,5.054,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 06:00:00,18,1.0,0.654,19462.199,37.101,6.667,51.338,-7.571,-0.0,60.16,0.0,2.113,0.0,0.0,0.226,0.226,-6.709,46.877,0.0,40.168,45.18,0.0,-5.012,34.26,0.0,46.843,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 07:00:00,18,1.0,0.42,16795.599,37.101,0.0,51.338,-14.238,-0.0,61.86,0.0,3.384,-0.002,0.0,0.226,0.226,-7.139,46.877,0.0,39.738,47.64,0.0,-7.902,38.05,0.0,63.57,-3.38,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 08:00:00,18,1.0,0.42,16795.609,37.101,0.0,51.338,-14.238,0.0,63.68,0.0,5.08,0.122,0.0,0.228,0.228,-7.139,46.877,0.0,39.738,49.05,0.0,-9.312,39.93,0.0,72.39,-8.91,0.0,3.211,3.211,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 09:00:00,18,1.0,0.42,16795.608,37.101,0.0,51.338,-14.238,-0.0,65.2,0.0,6.628,0.094,0.0,0.099,0.099,-7.139,46.877,0.0,39.738,50.1,0.0,-10.362,40.6,0.0,72.886,-7.687,0.0,11.676,11.676,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 10:00:00,18,1.0,0.42,16795.599,37.101,0.0,51.338,-14.238,0.0,64.75,0.0,8.142,0.0,0.0,0.0,0.0,-5.27,46.877,0.0,41.608,51.09,0.0,-9.482,41.12,0.0,70.205,-5.365,0.0,18.979,18.979,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 11:00:00,18,1.0,0.42,16795.599,37.101,0.0,47.597,-10.496,-0.0,63.68,0.0,8.944,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,50.14,0.0,-10.402,41.29,0.0,66.381,-4.192,0.0,24.075,24.075,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 12:00:00,18,1.0,0.42,16795.599,37.101,0.0,51.338,-14.238,-0.0,62.37,0.0,9.792,0.0,0.0,0.0,0.0,-1.24,46.877,0.0,45.637,49.41,0.0,-3.773,40.71,0.0,62.239,-3.518,0.0,28.058,28.058,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 13:00:00,18,1.0,0.42,16795.599,37.101,0.0,50.979,-13.878,-0.0,61.42,0.0,10.441,0.0,0.0,0.0,0.0,0.0,46.877,0.0,46.877,48.15,0.0,-1.273,40.05,0.0,59.398,-4.197,0.0,31.4,31.4,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 14:00:00,18,1.0,0.42,16795.599,37.101,0.0,42.373,-5.272,-0.0,60.32,0.0,10.808,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,46.9,0.0,-7.162,39.76,0.0,58.196,-6.002,0.0,35.387,35.387,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 15:00:00,18,1.0,0.42,16795.599,37.101,0.0,42.08,-4.979,-0.0,60.02,0.0,10.801,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,46.22,0.0,-6.482,40.65,0.0,58.365,-6.254,0.0,41.089,41.089,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 16:00:00,18,1.0,0.42,16795.599,37.101,0.0,50.261,-13.16,-0.0,59.67,0.0,9.292,0.0,0.0,0.0,0.0,-0.117,46.877,0.0,46.76,46.76,0.0,0.0,41.39,0.0,58.782,-4.232,0.0,47.029,47.029,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 17:00:00,18,1.0,0.42,16795.599,37.101,0.0,44.516,-7.416,-0.0,58.8,0.0,7.144,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,46.89,0.0,-7.152,41.0,0.0,59.567,-3.999,0.0,51.049,51.049,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 18:00:00,18,1.0,0.42,16795.599,37.101,0.0,43.97,-6.87,-0.0,56.48,0.0,5.37,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,44.91,0.0,-5.172,40.01,0.0,55.782,-3.731,0.0,54.848,54.848,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 19:00:00,18,1.0,0.42,16795.599,37.101,0.0,51.338,-14.238,-0.0,54.4,0.0,4.175,0.0,0.0,0.0,0.0,1.113,46.877,0.0,47.99,43.86,0.0,4.13,38.62,0.0,42.472,6.255,0.0,58.392,58.392,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 20:00:00,18,1.0,0.42,16795.599,37.101,0.0,41.252,-4.151,0.0,52.63,0.0,4.239,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,46.55,0.0,-6.812,37.41,0.0,30.583,17.79,0.0,51.808,51.808,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 21:00:00,18,1.0,0.42,16795.599,37.101,0.0,37.268,-0.167,0.0,48.84,0.0,4.433,0.0,0.0,0.0,0.0,-7.139,46.877,0.0,39.738,47.61,0.0,-7.872,35.77,0.0,25.537,18.272,0.0,33.082,33.082,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 22:00:00,18,1.0,0.42,16795.599,37.101,0.0,37.101,0.0,0.0,45.85,0.0,4.262,-0.0,0.0,0.0,0.0,-4.487,46.877,0.0,42.39,43.58,0.0,-1.19,32.19,0.0,23.133,10.246,0.0,13.849,13.849,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 23:00:00,18,1.0,0.42,16795.599,37.101,0.0,37.101,0.0,0.0,44.02,0.0,3.831,0.0,0.0,0.0,0.0,-3.088,46.877,0.0,43.789,40.37,0.0,3.419,28.43,0.0,22.1,2.91,0.0,3.063,3.063,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-02 00:00:00,28,1.0,0.29,11591.599,37.101,0.0,49.826,-12.726,0.0,45.5,0.0,2.813,0.0,0.0,0.0,0.0,7.139,20.857,0.0,27.997,40.36,0.0,-12.363,27.85,0.0,60.629,-7.691,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2020-07-02 01:00:00,28,1.0,0.279,11131.599,37.101,0.0,49.636,-12.535,-0.0,45.42,0.0,2.924,0.0,0.0,0.0,0.0,7.139,18.557,0.0,25.697,38.06,0.0,-12.363,26.07,0.0,65.646,-14.677,0.0,7.306,7.306,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 02:00:00,28,1.0,0.275,10971.599,37.101,0.0,49.955,-12.854,-0.0,46.08,0.0,3.265,0.0,0.0,0.0,0.0,7.139,17.757,0.0,24.897,37.26,0.0,-12.363,25.18,0.0,68.903,-18.506,0.0,21.25,21.25,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 03:00:00,28,1.0,0.28,11175.765,37.101,0.0,51.338,-14.238,-0.0,48.02,0.0,3.7,0.0,0.0,0.0,0.0,7.018,18.778,0.0,25.797,38.16,0.0,-12.363,24.72,0.0,73.204,-21.883,0.0,38.832,38.832,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 04:00:00,28,1.0,0.312,12451.321,37.101,0.0,51.338,-14.238,0.0,53.81,0.0,5.142,0.0,0.0,0.0,0.0,2.671,25.156,0.0,27.827,40.19,0.0,-12.363,25.22,0.0,75.558,-23.737,0.0,59.622,59.622,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 05:00:00,28,1.0,0.348,13892.45,37.101,0.0,51.338,-14.238,0.0,59.11,0.0,6.707,0.0,0.0,0.0,0.0,-1.065,32.362,0.0,31.297,43.66,0.0,-12.363,29.62,0.0,73.661,-17.44,0.0,82.173,82.173,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
