,output
cap_baseload_region1,27.548498
gen_baseload_region1,702500.46849246
cap_peaking_region1,14.543256
gen_peaking_region1,155866.542664635
cap_transmission_region1_region2,35.080619
cap_transmission_region1_region5,7.0111342
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470346.65
cap_wind_region2,51.585067
gen_wind_region2,487987.38293067
cap_storage_energy_region2,447.83959
cap_storage_power_region2,100.0
cap_transmission_region2_region3,17.995
cap_baseload_region3,43.115
gen_baseload_region3,1079241.5225990003
cap_peaking_region3,43.31
gen_peaking_region3,346931.01045408566
cap_transmission_region3_region4,68.43
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1423575.73
cap_transmission_region4_region5,11.11
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,980955.96
cap_wind_region5,106.95693
gen_wind_region5,1118936.5418244
cap_storage_energy_region5,2326.6555
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,70.663498
cap_peaking_total,57.8532579083405
cap_wind_total,158.54199495346552
cap_storage_energy_total,2774.4951354154728
cap_storage_power_total,300.0
cap_transmission_total,139.6267537814557
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1781741.9910328493
gen_peaking_total,502797.5636756148
gen_wind_total,1606923.9014817623
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3874878.34
emissions_total,557467410.2110271
cost_install,180375.86227107266
cost_operate,26518.332127295558
cost_total,206894.1943983682
num_ts,720.0
sum_ts_weights,26304.0
solution_time,41.744252
