,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,3,1.0,1.519,23763.781,7.379,6.87,17.622,-3.373,0.0,43.94,0.0,5.956,-10.072,0.0,0.0,0.0,-30.435,37.499,30.1,37.165,48.6,0.0,-11.435,29.83,0.0,44.638,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,3,1.0,1.521,23791.347,7.379,9.159,17.622,-1.084,0.0,43.9,0.0,5.716,-9.873,0.0,9.569,9.569,-30.435,37.499,27.88,34.945,46.38,0.0,-11.435,29.2,0.0,41.719,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,3,1.0,1.521,23794.209,7.379,10.456,17.622,0.213,0.0,44.8,0.0,5.436,-8.693,0.0,18.948,18.948,-30.435,37.499,26.59,33.655,45.09,0.0,-11.435,28.28,0.0,39.502,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 03:00:00,3,1.0,1.583,24492.299,7.379,11.331,17.622,1.088,0.0,46.76,0.0,5.345,-6.642,0.0,27.206,27.206,-30.435,37.499,27.46,34.525,45.96,0.0,-11.435,27.65,0.0,37.997,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 04:00:00,3,1.0,1.683,25641.641,7.379,11.315,17.622,1.072,0.0,51.16,0.0,5.494,-2.39,0.0,33.516,33.516,-30.435,37.499,30.35,37.415,48.85,0.0,-11.435,28.03,0.0,38.393,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 05:00:00,3,1.0,1.873,27816.892,7.379,13.013,17.622,2.77,0.0,55.93,0.0,8.546,-0.672,0.0,35.786,35.786,-30.435,37.499,34.09,41.155,52.59,0.0,-11.435,31.63,0.0,40.295,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 06:00:00,3,1.0,1.854,27594.807,7.379,9.688,17.622,-0.555,0.0,59.43,0.0,12.084,-0.711,0.0,36.425,36.425,-30.435,37.499,36.86,43.925,55.36,0.0,-11.435,36.97,0.0,48.96,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 07:00:00,3,1.0,1.72,26066.95,7.379,4.228,17.622,-6.015,0.0,61.39,0.0,14.048,-0.714,0.0,37.1,37.1,-30.435,37.499,38.5,45.565,57.0,0.0,-11.435,40.44,0.0,57.89,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 08:00:00,3,1.0,1.596,24640.772,7.379,0.173,17.622,-10.071,-0.0,62.9,0.0,16.53,-1.687,0.0,37.778,37.778,-30.435,37.499,38.99,46.055,57.49,0.0,-11.435,42.08,0.0,63.586,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 09:00:00,3,1.0,1.619,24907.818,7.379,0.7,17.622,-9.543,0.0,64.3,0.0,18.386,-2.143,0.0,39.38,39.38,-30.435,37.499,39.13,46.195,57.63,0.0,-11.435,42.75,0.0,63.728,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 10:00:00,3,1.0,1.607,24767.751,7.379,0.0,17.622,-10.243,-0.0,64.26,0.0,17.306,-1.102,0.0,41.416,41.416,-30.435,37.499,39.48,46.545,57.98,0.0,-11.435,43.2,0.0,64.887,-0.009,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 11:00:00,3,1.0,1.571,24363.751,7.379,0.0,17.622,-10.243,-0.0,63.23,0.0,16.836,-1.662,0.0,42.463,42.463,-30.435,37.499,38.47,45.535,56.97,0.0,-11.435,43.38,0.0,65.162,-0.104,0.0,0.009,0.009,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 12:00:00,3,1.0,1.53,23889.078,7.379,0.403,17.622,-9.84,-0.0,61.83,0.0,16.53,-2.757,0.0,44.042,44.042,-30.435,37.499,36.88,43.945,55.38,0.0,-11.435,42.86,0.0,64.135,0.0,0.0,0.107,0.107,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 13:00:00,3,1.0,1.504,23589.703,7.379,1.585,17.622,-8.658,0.0,60.66,0.0,15.648,-3.044,0.0,46.66,46.66,-30.435,37.499,34.95,42.015,53.45,0.0,-11.435,42.16,0.0,62.253,0.0,0.0,0.107,0.107,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 14:00:00,3,1.0,1.468,23176.871,7.379,2.213,17.622,-8.03,0.0,59.59,0.0,12.992,-1.458,0.0,49.552,49.552,-30.435,37.499,33.29,40.355,51.79,0.0,-11.435,41.72,0.0,61.185,0.0,0.0,0.107,0.107,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 15:00:00,3,1.0,1.524,23820.519,7.379,4.642,17.622,-5.601,-0.0,59.24,0.0,8.76,2.423,0.0,50.937,50.937,-30.435,37.499,32.47,39.535,50.97,0.0,-11.435,42.41,0.0,59.446,0.0,0.0,0.107,0.107,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 16:00:00,3,1.0,1.728,26151.097,7.379,9.528,17.622,-0.715,-0.0,59.52,0.0,4.281,7.182,0.0,48.386,48.386,-30.435,37.499,33.41,40.475,51.91,0.0,-11.435,43.33,0.0,55.48,0.0,0.0,0.107,0.107,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 17:00:00,3,1.0,2.091,30297.622,7.379,18.095,17.622,7.852,-0.0,59.98,0.0,0.883,11.041,0.0,40.825,40.825,-30.435,37.499,35.21,42.275,53.71,0.0,-11.435,43.59,0.0,51.086,-3.913,0.0,0.107,0.107,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 18:00:00,3,1.0,2.328,33006.7,7.379,18.095,17.622,7.852,0.0,59.3,0.0,0.19,11.054,0.0,29.203,29.203,-30.435,37.499,41.983,49.048,54.44,0.0,-5.392,43.68,0.0,41.221,0.0,0.0,3.825,3.825,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 19:00:00,3,1.0,2.841,38870.608,7.379,18.095,17.622,7.852,0.0,57.08,0.0,0.148,8.875,0.0,17.568,17.568,-30.435,37.499,56.643,63.707,53.65,0.0,10.057,43.03,0.0,25.121,0.0,0.0,3.825,3.825,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 20:00:00,3,1.0,2.833,38780.289,7.379,18.095,17.622,7.852,0.0,54.38,0.0,0.396,5.927,0.0,8.226,8.226,-30.435,37.499,56.417,63.482,53.83,0.0,9.652,41.18,0.0,23.677,0.0,0.0,3.825,3.825,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 21:00:00,3,1.0,2.414,33990.691,7.379,18.095,17.622,7.852,-0.0,50.81,0.0,0.866,1.887,0.0,1.987,1.987,-30.435,37.499,44.443,51.508,54.91,0.0,-3.402,37.91,0.0,33.461,0.0,0.0,3.825,3.825,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 22:00:00,3,1.0,2.293,32613.93,7.379,18.095,17.622,7.852,0.0,47.37,0.0,1.435,-2.122,0.0,0.0,0.0,-30.435,37.499,41.001,48.066,52.9,0.0,-4.834,33.98,0.0,47.191,-16.228,0.0,3.825,3.825,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 23:00:00,3,1.0,2.766,38013.622,7.379,18.095,17.622,7.852,0.0,45.1,0.0,2.037,-4.994,0.0,2.016,2.016,-30.435,37.499,54.5,61.565,50.13,0.0,11.435,30.48,0.0,57.117,-45.924,0.0,19.242,19.242,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-02 00:00:00,27,1.0,0.207,8279.83,7.379,0.0,17.622,-10.243,0.0,36.01,0.0,13.198,0.0,6.76,0.0,6.76,-5.19,34.02,0.0,28.83,35.03,0.0,-6.2,27.54,0.0,25.507,18.475,62.872,0.0,62.872,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2020-07-02 01:00:00,27,1.0,0.225,8975.648,7.379,0.0,7.379,0.0,0.0,35.94,0.0,18.024,0.0,6.76,0.0,6.76,-10.538,37.499,0.0,26.962,32.75,0.0,-5.788,25.95,0.0,28.07,3.668,62.871,-19.447,43.424,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2020-07-02 02:00:00,27,1.0,0.211,8431.797,7.379,0.0,7.379,0.0,-0.0,36.63,0.0,20.869,0.0,6.76,0.0,6.76,-8.382,34.78,0.0,26.398,31.87,0.0,-5.472,25.06,0.0,30.532,0.0,62.87,-23.307,39.563,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 03:00:00,27,1.0,0.195,7781.583,7.379,0.0,15.079,-7.7,-0.0,38.58,0.0,23.501,0.0,6.76,0.0,6.76,0.0,31.529,0.0,31.529,32.76,0.0,-1.231,24.57,0.0,33.501,0.0,62.87,-23.307,39.563,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2020-07-02 04:00:00,27,1.0,0.209,8330.041,7.379,0.0,7.379,0.0,0.0,44.14,0.0,26.182,0.0,6.76,0.0,6.76,-10.58,34.271,0.0,23.692,34.94,0.0,-11.248,25.05,0.0,36.298,0.0,62.869,-23.307,39.562,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2020-07-02 05:00:00,27,1.0,0.21,8384.097,7.379,0.0,10.397,-3.019,0.0,49.36,0.0,31.436,0.0,6.76,0.0,6.76,-7.527,34.542,0.0,27.015,38.45,0.0,-11.435,29.32,0.0,43.774,0.0,62.869,-23.307,39.562,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2020-07-02 06:00:00,27,1.0,0.158,6292.585,7.379,0.0,14.324,-6.945,-0.0,52.75,0.0,44.527,0.0,6.76,0.0,6.76,6.101,24.084,0.0,30.185,41.62,0.0,-11.435,34.75,0.0,53.13,0.0,62.868,-23.306,39.562,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2020-07-02 07:00:00,27,1.0,0.122,4877.421,7.379,0.0,17.622,-10.243,-0.0,54.51,0.0,52.355,0.0,6.76,0.0,6.76,15.467,17.008,0.0,32.475,43.91,0.0,-11.435,38.48,0.0,63.687,-3.529,62.867,-23.306,39.561,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2020-07-02 08:00:00,27,1.0,0.121,4800.324,7.379,0.0,17.622,-10.243,-0.0,56.27,0.0,55.72,0.0,6.76,0.0,6.76,17.072,16.623,0.0,33.695,45.13,0.0,-11.435,40.31,0.0,68.294,-6.306,62.867,-19.953,42.914,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2020-07-02 09:00:00,27,1.0,0.125,4994.816,7.379,0.0,17.622,-10.243,-0.0,57.76,0.0,57.098,0.0,6.76,0.0,6.76,16.96,17.595,0.0,34.555,45.99,0.0,-11.435,40.98,0.0,68.711,-6.053,62.866,-13.961,48.905,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2020-07-02 10:00:00,27,1.0,0.124,4952.938,7.379,0.0,17.622,-10.243,-0.0,57.39,0.0,57.807,0.0,6.76,0.0,6.76,18.039,17.386,0.0,35.425,46.86,0.0,-11.435,41.49,0.0,66.708,-3.54,62.865,-8.21,54.655,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2020-07-02 11:00:00,27,1.0,0.112,4476.349,7.379,0.0,17.622,-10.243,-0.0,56.33,0.0,58.17,0.0,6.76,0.0,6.76,19.462,15.003,0.0,34.465,45.9,0.0,-11.435,41.66,0.0,66.393,-3.054,62.865,-4.847,58.017,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2020-07-02 12:00:00,27,1.0,0.129,5149.483,7.379,0.0,17.622,-10.243,-0.0,55.0,0.0,58.335,-5.771,6.759,0.0,6.759,15.186,18.369,0.0,33.555,44.99,0.0,-11.435,41.09,0.0,67.979,-5.211,62.864,-1.945,60.919,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2020-07-02 13:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,54.0,0.0,57.502,-26.468,6.759,5.482,12.242,-5.344,37.499,0.0,32.155,43.59,0.0,-11.435,40.42,0.0,70.268,-8.169,62.863,3.005,65.869,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2020-07-02 14:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,52.91,0.0,54.301,-25.688,6.759,30.628,37.387,-6.674,37.499,0.0,30.825,42.26,0.0,-11.435,40.1,0.0,72.871,-11.093,62.863,10.767,73.63,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2020-07-02 15:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,0.0,52.6,0.0,49.319,-21.726,6.759,55.031,61.791,-7.384,37.499,0.0,30.115,41.55,0.0,-11.435,40.95,0.0,75.841,-13.213,62.862,21.306,84.168,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
2020-07-02 16:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,52.38,0.0,41.244,-13.25,6.759,75.67,82.43,-6.764,37.499,0.0,30.735,42.17,0.0,-11.435,41.72,0.0,76.339,-12.941,62.862,33.858,96.72,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 17:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,51.78,0.0,32.112,-4.249,6.759,88.258,95.017,-6.294,37.499,0.0,31.205,42.64,0.0,-11.435,41.46,0.0,74.275,-11.137,62.861,46.153,109.014,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2020-07-02 18:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,49.8,0.0,19.904,4.549,6.759,92.293,99.052,-7.724,37.499,0.0,29.775,41.21,0.0,-11.435,40.69,0.0,69.108,-6.74,62.86,56.732,119.593,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
2020-07-02 19:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,47.68,0.0,11.309,10.035,6.759,87.503,94.262,-8.714,37.499,0.0,28.785,40.22,0.0,-11.435,39.46,0.0,59.243,1.895,62.86,63.135,125.995,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 20:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,45.73,0.0,10.138,11.436,6.759,76.94,83.699,-6.534,37.499,0.0,30.965,42.4,0.0,-11.435,38.12,0.0,46.113,13.685,62.859,61.14,123.999,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2020-07-02 21:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,41.98,0.0,10.905,7.979,6.759,64.902,71.66,-5.474,37.499,0.0,32.025,43.46,0.0,-11.435,36.15,0.0,38.068,19.76,62.858,46.734,109.593,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2020-07-02 22:00:00,27,1.0,0.225,8975.647,7.379,0.0,17.622,-10.243,-0.0,38.9,0.0,11.812,0.371,6.759,56.502,63.261,-9.094,37.499,0.0,28.405,39.84,0.0,-11.435,32.5,0.0,35.444,18.734,62.858,25.935,88.792,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
2020-07-02 23:00:00,27,1.0,0.225,8975.648,7.379,0.0,12.228,-4.849,0.0,36.98,0.0,12.538,0.0,6.759,56.111,62.87,-12.214,37.499,0.0,25.285,36.72,0.0,-11.435,28.79,0.0,34.874,10.199,62.857,6.215,69.072,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2020-07-03 00:00:00,27,1.0,0.207,8279.83,7.379,0.0,17.622,-10.243,0.0,36.01,0.0,13.198,0.0,62.869,0.0,62.869,-5.19,34.02,0.0,28.83,35.03,0.0,-6.2,27.54,0.0,25.507,18.475,58.336,0.0,58.336,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-03 01:00:00,27,1.0,0.225,8975.648,7.379,0.0,7.379,0.0,0.0,35.94,0.0,18.024,0.0,62.868,0.0,62.868,-10.538,37.499,0.0,26.962,32.75,0.0,-5.788,25.95,0.0,28.07,3.668,58.336,-19.447,38.889,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-03 02:00:00,27,1.0,0.211,8431.797,7.379,0.0,7.379,0.0,-0.0,36.63,0.0,20.869,0.0,62.868,0.0,62.868,-8.382,34.78,0.0,26.398,31.87,0.0,-5.472,25.06,0.0,30.532,0.0,58.335,-23.307,35.028,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-03 03:00:00,27,1.0,0.195,7781.583,7.379,0.0,15.079,-7.7,-0.0,38.58,0.0,23.501,0.0,62.867,0.0,62.867,0.0,31.529,0.0,31.529,32.76,0.0,-1.231,24.57,0.0,33.501,0.0,58.334,-23.307,35.027,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-03 04:00:00,27,1.0,0.209,8330.041,7.379,0.0,7.379,0.0,0.0,44.14,0.0,26.182,0.0,62.866,0.0,62.866,-10.58,34.271,0.0,23.692,34.94,0.0,-11.248,25.05,0.0,36.298,0.0,58.334,-23.307,35.027,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2020-07-03 05:00:00,27,1.0,0.21,8384.097,7.379,0.0,10.397,-3.019,0.0,49.36,0.0,31.436,0.0,62.866,0.0,62.866,-7.527,34.542,0.0,27.015,38.45,0.0,-11.435,29.32,0.0,43.774,0.0,58.333,-23.307,35.027,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2020-07-03 06:00:00,27,1.0,0.158,6292.585,7.379,0.0,14.324,-6.945,-0.0,52.75,0.0,44.527,0.0,62.865,0.0,62.865,6.101,24.084,0.0,30.185,41.62,0.0,-11.435,34.75,0.0,53.13,0.0,58.333,-23.306,35.026,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-03 07:00:00,27,1.0,0.122,4877.421,7.379,0.0,17.622,-10.243,-0.0,54.51,0.0,52.355,0.0,62.865,0.0,62.865,15.467,17.008,0.0,32.475,43.91,0.0,-11.435,38.48,0.0,63.687,-3.529,58.332,-23.306,35.026,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-03 08:00:00,27,1.0,0.121,4800.324,7.379,0.0,17.622,-10.243,-0.0,56.27,0.0,55.72,0.0,62.864,0.0,62.864,17.072,16.623,0.0,33.695,45.13,0.0,-11.435,40.31,0.0,68.294,-6.306,58.332,-19.953,38.379,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2020-07-03 09:00:00,27,1.0,0.125,4994.816,7.379,0.0,17.622,-10.243,-0.0,57.76,0.0,57.098,0.0,62.863,0.0,62.863,16.96,17.595,0.0,34.555,45.99,0.0,-11.435,40.98,0.0,68.711,-6.053,58.331,-13.961,44.37,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2020-07-03 10:00:00,27,1.0,0.124,4952.938,7.379,0.0,17.622,-10.243,-0.0,57.39,0.0,57.807,0.0,62.863,0.0,62.863,18.039,17.386,0.0,35.425,46.86,0.0,-11.435,41.49,0.0,66.708,-3.54,58.33,-8.21,50.12,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2020-07-03 11:00:00,27,1.0,0.112,4476.349,7.379,0.0,17.622,-10.243,-0.0,56.33,0.0,58.17,0.0,62.862,0.0,62.862,19.462,15.003,0.0,34.465,45.9,0.0,-11.435,41.66,0.0,66.393,-3.054,58.33,-4.847,53.483,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2020-07-03 12:00:00,27,1.0,0.129,5149.483,7.379,0.0,17.622,-10.243,-0.0,55.0,0.0,58.335,-5.771,62.861,0.0,62.861,15.186,18.369,0.0,33.555,44.99,0.0,-11.435,41.09,0.0,67.979,-5.211,58.329,-1.945,56.384,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2020-07-03 13:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,54.0,0.0,57.502,-26.468,62.861,5.482,68.343,-5.344,37.499,0.0,32.155,43.59,0.0,-11.435,40.42,0.0,70.268,-8.169,58.329,3.005,61.334,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-03 14:00:00,27,1.0,0.225,8975.648,7.379,0.0,17.622,-10.243,-0.0,52.91,0.0,54.301,-25.688,62.86,30.628,93.488,-6.674,37.499,0.0,30.825,42.26,0.0,-11.435,40.1,0.0,72.871,-11.093,58.328,10.767,69.095,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
