,output
cap_baseload_region1,10.611664
gen_baseload_region1,264769.8355168708
cap_peaking_region1,7.953376
gen_peaking_region1,93059.23562004909
cap_transmission_region1_region2,15.92672
cap_transmission_region1_region5,2.6383191
cap_transmission_region1_region6,0.0
peak_unmet_region2,30.569698
gen_unmet_region2,12998.583489823
demand_region2,1470332.325
cap_wind_region2,88.424376
gen_wind_region2,848953.6268986469
cap_storage_energy_region2,823.94757
cap_storage_power_region2,100.0
cap_transmission_region2_region3,26.381172
cap_baseload_region3,38.651447
gen_baseload_region3,893048.37807058
cap_peaking_region3,52.589451
gen_peaking_region3,456144.82249971
cap_transmission_region3_region4,67.130274
peak_unmet_region4,41.297809
gen_unmet_region4,15801.811407870002
demand_region4,1437613.1199999999
cap_transmission_region4_region5,24.759726
peak_unmet_region5,20.320406
gen_unmet_region5,1802.8828454400004
demand_region5,994993.315
cap_wind_region5,117.5109
gen_wind_region5,1342080.3912777998
cap_storage_energy_region5,1040.5824
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,49.263211
cap_peaking_total,60.542927
cap_wind_total,205.935376
cap_storage_energy_total,1864.53007
cap_storage_power_total,300.0
cap_transmission_total,136.8364111
peak_unmet_total,92.18791300000001
peak_unmet_systemwide,86.449556
gen_baseload_total,1157819.7246792717
gen_peaking_total,549204.0581197591
gen_wind_total,2191034.4377251095
gen_solar_total,0.0
gen_unmet_total,30603.277743133003
demand_total,3902938.76
cost_install,0.0
cost_operate,208643.81908210518
cost_total,208643.81908210518
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,307.871096
