,output
cap_baseload_region1,41.972908
gen_baseload_region1,1092869.143887
cap_peaking_region1,26.383706
gen_peaking_region1,190744.56803287138
cap_transmission_region1_region2,55.164769
cap_transmission_region1_region5,13.191846
cap_transmission_region1_region6,0.0
peak_unmet_region2,10.140682
gen_unmet_region2,114.426022219
demand_region2,1470332.325
cap_wind_region2,13.367247
gen_wind_region2,128337.6070544107
cap_storage_energy_region2,440.39259
cap_storage_power_region2,100.0
cap_transmission_region2_region3,6.5541557
cap_baseload_region3,47.767844
gen_baseload_region3,1213256.3710059996
cap_peaking_region3,32.544312
gen_peaking_region3,136783.52755066
cap_transmission_region3_region4,77.761999
peak_unmet_region4,2.73
gen_unmet_region4,21.939999999999998
demand_region4,1437613.1199999999
cap_transmission_region4_region5,11.398001
peak_unmet_region5,5.2317887
gen_unmet_region5,0.0
demand_region5,994993.315
cap_wind_region5,91.67441
gen_wind_region5,1161437.80201906
cap_storage_energy_region5,1750.9381
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,89.74085199999999
cap_peaking_total,58.928118
cap_wind_total,105.041757
cap_storage_energy_total,2191.3307900000004
cap_storage_power_total,300.0
cap_transmission_total,164.0709707
peak_unmet_total,18.1024707
peak_unmet_systemwide,10.140682
gen_baseload_total,2306127.4938597595
gen_peaking_total,327528.0955868409
gen_wind_total,1289775.9768171448
gen_solar_total,0.0
gen_unmet_total,143.988207169
demand_total,3902938.76
cost_install,0.0
cost_operate,23869.447942199982
cost_total,23869.447942199982
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,270.033683
