,output
cap_baseload_region1,39.763717
gen_baseload_region1,1038925.608677
cap_peaking_region1,15.926145
gen_peaking_region1,170497.60173308314
cap_transmission_region1_region2,47.726792
cap_transmission_region1_region5,7.9630488
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470164.9500000002
cap_wind_region2,21.985103
gen_wind_region2,202983.586906502
cap_storage_energy_region2,642.7238
cap_storage_power_region2,100.0
cap_transmission_region2_region3,6.9117258
cap_baseload_region3,38.869431
gen_baseload_region3,982260.564727
cap_peaking_region3,40.583452
gen_peaking_region3,284682.65668247995
cap_transmission_region3_region4,72.541157
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1406048.5899999999
cap_transmission_region4_region5,16.618843
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,983998.3
cap_wind_region5,108.56109
gen_wind_region5,1196134.1776749
cap_storage_energy_region5,1707.129
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.633148
cap_peaking_total,56.509604662967696
cap_wind_total,130.5461912815108
cap_storage_energy_total,2349.8533470521897
cap_storage_power_total,300.0
cap_transmission_total,151.76157855589219
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,2021186.1733168417
gen_peaking_total,455180.29261549085
gen_wind_total,1399117.7088084363
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3860211.84
emissions_total,586309344.6625398
cost_install,181240.10085700528
cost_operate,26048.638005822224
cost_total,207288.7388628275
num_ts,720.0
sum_ts_weights,26304.0
solution_time,44.775481
