,output
cap_baseload_region1,38.920401
gen_baseload_region1,1013467.7671569997
cap_peaking_region1,9.3373353
gen_peaking_region1,114589.33074015201
cap_transmission_region1_region2,48.662929
cap_transmission_region1_region5,0.40519811
cap_transmission_region1_region6,0.0
peak_unmet_region2,16.140276
gen_unmet_region2,1671.491327651
demand_region2,1470689.425
cap_wind_region2,33.431065
gen_wind_region2,338094.17565156
cap_storage_energy_region2,111.19452
cap_storage_power_region2,100.0
cap_transmission_region2_region3,12.046206
cap_baseload_region3,39.667999
gen_baseload_region3,950841.6372899499
cap_peaking_region3,32.351687
gen_peaking_region3,218135.8608804585
cap_transmission_region3_region4,65.311397
peak_unmet_region4,43.867206
gen_unmet_region4,14021.85231341
demand_region4,1472070.2850000001
cap_transmission_region4_region5,20.848603
peak_unmet_region5,24.153091
gen_unmet_region5,4050.3961778099997
demand_region5,997097.365
cap_wind_region5,125.9274
gen_wind_region5,1306586.76338056
cap_storage_energy_region5,1641.1312
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.58850000000001
cap_peaking_total,41.6891223
cap_wind_total,159.358565
cap_storage_energy_total,1752.32582
cap_storage_power_total,300.0
cap_transmission_total,147.27453311
peak_unmet_total,84.160573
peak_unmet_systemwide,73.276996
gen_baseload_total,1964310.6613455198
gen_peaking_total,332725.34262579813
gen_wind_total,1644681.2683276976
gen_solar_total,0.0
gen_unmet_total,19743.739818871
demand_total,3939857.075
cost_install,0.0
cost_operate,139941.3031521003
cost_total,139941.3031521003
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,872.412999
