,output
cap_baseload_region1,0.0
gen_baseload_region1,0.0
cap_peaking_region1,3.8833162
gen_peaking_region1,51394.81865404047
cap_transmission_region1_region2,2.6486237
cap_transmission_region1_region5,2.6486094
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470689.4248950002
cap_wind_region2,116.03035
gen_wind_region2,1163233.0041611
cap_storage_energy_region2,721.91957
cap_storage_power_region2,100.0
cap_transmission_region2_region3,36.906764
cap_baseload_region3,32.504093
gen_baseload_region3,736153.6136191599
cap_peaking_region3,65.572882
gen_peaking_region3,808568.2168433801
cap_transmission_region3_region4,65.58606
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1472070.2850610001
cap_transmission_region4_region5,19.139496
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,997097.36501
cap_wind_region5,116.53332
gen_wind_region5,1198044.5833375999
cap_storage_energy_region5,2329.635
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,32.504092999625094
cap_peaking_total,69.45619818109355
cap_wind_total,232.56366966518775
cap_storage_energy_total,3051.554615435726
cap_storage_power_total,300.0
cap_transmission_total,126.92955290082455
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,736153.6131748884
gen_peaking_total,859963.035179477
gen_wind_total,2361277.5470997756
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3939857.0749660004
emissions_total,491215937.7839699
cost_install,168137.35037019828
cost_operate,33792.47630291599
cost_total,201929.82667311426
num_ts,720.0
sum_ts_weights,26304.0
solution_time,80.068193
