,output
cap_baseload_region1,0.0
gen_baseload_region1,0.0
cap_peaking_region1,3.8833162
gen_peaking_region1,38604.5808058041
cap_transmission_region1_region2,2.6486237
cap_transmission_region1_region5,2.6486094
cap_transmission_region1_region6,0.0
peak_unmet_region2,32.358082
gen_unmet_region2,10623.517787390001
demand_region2,1470689.425
cap_wind_region2,116.03035
gen_wind_region2,1167998.14033123
cap_storage_energy_region2,721.91957
cap_storage_power_region2,100.0
cap_transmission_region2_region3,36.906764
cap_baseload_region3,32.504093
gen_baseload_region3,736336.3384988601
cap_peaking_region3,65.572882
gen_peaking_region3,735162.33346646
cap_transmission_region3_region4,65.58606
peak_unmet_region4,41.883436
gen_unmet_region4,7883.036023117998
demand_region4,1472070.2850000001
cap_transmission_region4_region5,19.139496
peak_unmet_region5,23.232462
gen_unmet_region5,1931.4968159260002
demand_region5,997097.365
cap_wind_region5,116.53332
gen_wind_region5,1272790.55042971
cap_storage_energy_region5,2329.635
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,32.504293000000004
cap_peaking_total,69.4562982
cap_wind_total,232.56377
cap_storage_energy_total,3051.5546700000004
cap_storage_power_total,300.0
cap_transmission_total,126.9297531
peak_unmet_total,97.47398000000001
peak_unmet_systemwide,85.938091
gen_baseload_total,736339.400663351
gen_peaking_total,773767.2420780337
gen_wind_total,2440789.0595367732
gen_solar_total,0.0
gen_unmet_total,20438.050626433997
demand_total,3939857.075
cost_install,0.0
cost_operate,153405.069926456
cost_total,153405.069926456
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,957.416836
