,output
cap_baseload_region1,40.338256
gen_baseload_region1,1051781.2825890002
cap_peaking_region1,21.505555
gen_peaking_region1,263463.92890895996
cap_transmission_region1_region2,52.670697
cap_transmission_region1_region5,9.1731133
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1465043.9100000001
cap_wind_region2,19.022238
gen_wind_region2,176419.956636591
cap_storage_energy_region2,208.82454
cap_storage_power_region2,100.0
cap_transmission_region2_region3,7.805
cap_baseload_region3,36.38
gen_baseload_region3,902865.9952285999
cap_peaking_region3,38.125153
gen_peaking_region3,249744.15731760202
cap_transmission_region3_region4,67.985
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1449084.6300000001
cap_transmission_region4_region5,20.375
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,995081.24
cap_wind_region5,117.28326
gen_wind_region5,1272059.85806555
cap_storage_energy_region5,439.01556
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,76.718256
cap_peaking_total,59.63070788560357
cap_wind_total,136.30549773402046
cap_storage_energy_total,647.840147245814
cap_storage_power_total,300.0
cap_transmission_total,158.00881038875798
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1954647.2773341818
gen_peaking_total,513208.085740893
gen_wind_total,1448479.772270596
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3909209.7800000003
emissions_total,596212692.7090471
cost_install,179118.96207503937
cost_operate,27747.005581095324
cost_total,206865.9676561347
num_ts,720.0
sum_ts_weights,26304.0
solution_time,83.385688
