,output
cap_baseload_region1,40.338256
gen_baseload_region1,1050101.338589
cap_peaking_region1,21.505555
gen_peaking_region1,233445.8476443882
cap_transmission_region1_region2,52.670697
cap_transmission_region1_region5,9.1731133
cap_transmission_region1_region6,0.0
peak_unmet_region2,12.583184
gen_unmet_region2,425.38288023999996
demand_region2,1470689.425
cap_wind_region2,19.022238
gen_wind_region2,192375.20180735
cap_storage_energy_region2,208.82454
cap_storage_power_region2,100.0
cap_transmission_region2_region3,7.805
cap_baseload_region3,36.38
gen_baseload_region3,898351.0817204302
cap_peaking_region3,38.125153
gen_peaking_region3,283267.12294583203
cap_transmission_region3_region4,67.985
peak_unmet_region4,40.72
gen_unmet_region4,11890.996726516001
demand_region4,1472070.2850000001
cap_transmission_region4_region5,20.375
peak_unmet_region5,16.510964
gen_unmet_region5,2208.144694812
demand_region5,997097.365
cap_wind_region5,117.28326
gen_wind_region5,1280607.30648255
cap_storage_energy_region5,439.01556
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,76.718356
cap_peaking_total,59.630808
cap_wind_total,136.305598
cap_storage_energy_total,647.8402
cap_storage_power_total,300.0
cap_transmission_total,158.00901030000003
peak_unmet_total,69.814148
peak_unmet_systemwide,59.819762999999995
gen_baseload_total,1948454.0194094302
gen_peaking_total,516712.97059022024
gen_wind_total,1472982.9299564618
gen_solar_total,0.0
gen_unmet_total,14524.524301568003
demand_total,3939857.075
cost_install,0.0
cost_operate,114986.04547854837
cost_total,114986.04547854837
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,695.770643
