,output
cap_baseload_region1,26.677022
gen_baseload_region1,698273.5209019003
cap_peaking_region1,19.451945
gen_peaking_region1,167086.9648373458
cap_transmission_region1_region2,38.014343
cap_transmission_region1_region5,8.1146173
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470689.425
cap_wind_region2,43.453558
gen_wind_region2,439453.3908204439
cap_storage_energy_region2,485.74098
cap_storage_power_region2,100.0
cap_transmission_region2_region3,19.275
cap_baseload_region3,45.81
gen_baseload_region3,1152122.6300177998
cap_peaking_region3,50.58
gen_peaking_region3,286935.681058249
cap_transmission_region3_region4,77.115
peak_unmet_region4,1.86
gen_unmet_region4,19.130000000000003
demand_region4,1472070.2850000001
cap_transmission_region4_region5,9.385
peak_unmet_region5,9.6586942
gen_unmet_region5,79.13862584
demand_region5,997097.365
cap_wind_region5,113.99989
gen_wind_region5,1218254.2665502501
cap_storage_energy_region5,1889.5889
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,72.487122
cap_peaking_total,70.032045
cap_wind_total,157.45354799999998
cap_storage_energy_total,2375.32998
cap_storage_power_total,300.0
cap_transmission_total,151.90416029999997
peak_unmet_total,11.518694199999999
peak_unmet_systemwide,9.6586942
gen_baseload_total,1850397.5831197
gen_peaking_total,454022.64589559485
gen_wind_total,1657708.014361495
gen_solar_total,0.0
gen_unmet_total,98.26862584
demand_total,3939857.075
cost_install,0.0
cost_operate,25744.545510844786
cost_total,25744.545510844786
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,742.680958
