,output
cap_baseload_region1,29.191888
gen_baseload_region1,767863.4219519999
cap_peaking_region1,20.339127
gen_peaking_region1,239523.90884891
cap_transmission_region1_region2,42.501722
cap_transmission_region1_region5,7.0292822
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1497987.11
cap_wind_region2,37.404682
gen_wind_region2,385653.84701001
cap_storage_energy_region2,498.00476
cap_storage_power_region2,100.0
cap_transmission_region2_region3,15.38
cap_baseload_region3,49.140701
gen_baseload_region3,1254610.3676999998
cap_peaking_region3,42.79
gen_peaking_region3,237917.56981631
cap_transmission_region3_region4,76.550701
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1498061.6400000001
cap_transmission_region4_region5,9.9492995
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,998204.3800000001
cap_wind_region5,114.43852
gen_wind_region5,1122322.0041935
cap_storage_energy_region5,2193.6872
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.33258897197982
cap_peaking_total,63.129133134747796
cap_wind_total,151.8431993986629
cap_storage_energy_total,2691.69210154717
cap_storage_power_total,300.0
cap_transmission_total,151.4110054481338
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,2022473.7888647544
gen_peaking_total,477441.49152206787
gen_wind_total,1507975.7867376313
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3994253.13
emissions_total,595471346.98529
cost_install,190165.48929617804
cost_operate,26834.688988876198
cost_total,217000.17828505425
num_ts,720.0
sum_ts_weights,26304.0
solution_time,98.535178
