,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,13,1.0,0.865,14528.745,-0.0,3.883,1.235,2.649,0.0,44.107,0.0,15.886,0.0,0.0,0.0,0.0,-26.987,32.504,16.186,21.704,40.433,0.0,-18.73,26.982,0.0,43.063,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 01:00:00,13,1.0,0.717,12829.301,-0.0,3.375,2.649,0.726,0.0,44.001,0.0,15.456,0.0,0.0,0.0,0.0,-25.897,32.504,12.446,19.054,38.193,0.0,-19.139,25.468,0.0,43.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 02:00:00,13,1.0,0.639,11940.739,-0.0,1.126,2.649,-1.522,0.0,44.714,0.0,15.18,0.0,0.0,0.0,0.0,-26.885,32.504,12.474,18.092,37.232,0.0,-19.139,24.559,0.0,45.221,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 03:00:00,13,1.0,0.719,12850.31,-0.0,0.0,2.649,-2.649,0.0,46.799,0.0,14.747,0.0,0.0,0.0,0.0,-29.403,32.504,15.874,18.975,38.114,0.0,-19.139,24.086,0.0,45.874,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 04:00:00,13,1.0,0.99,15958.383,-0.0,0.0,2.649,-2.649,0.0,52.258,0.0,15.157,-0.316,0.0,0.0,0.0,-34.768,32.504,23.644,21.38,40.52,0.0,-19.139,24.484,0.0,46.272,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 05:00:00,13,1.0,1.189,18230.857,-0.0,0.0,2.649,-2.649,0.0,57.439,0.0,17.599,0.285,0.0,0.3,0.3,-36.907,32.504,29.325,24.922,44.062,0.0,-19.139,28.342,0.0,50.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 06:00:00,13,1.0,1.286,19332.907,-0.0,0.0,2.649,-2.649,0.0,60.87,0.0,21.657,0.0,0.0,0.0,0.0,-36.565,32.504,32.08,28.02,47.159,0.0,-19.139,33.705,0.0,55.493,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 07:00:00,13,1.0,1.22,18582.363,-0.0,0.0,2.649,-2.649,0.0,62.604,0.0,27.453,0.0,0.0,0.0,0.0,-32.502,32.504,30.204,30.206,49.345,0.0,-19.139,37.703,0.0,59.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2020-07-01 08:00:00,13,1.0,1.146,17728.974,-0.0,0.0,2.649,-2.649,0.0,64.288,0.0,32.478,-0.0,0.0,-0.0,-0.0,-29.161,32.504,28.07,31.414,50.553,0.0,-19.139,39.692,0.0,61.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 09:00:00,13,1.0,1.064,16793.947,-0.0,0.0,2.649,-2.649,0.0,65.736,0.0,37.085,0.0,0.0,0.0,0.0,-26.003,32.504,25.733,32.234,51.374,0.0,-19.139,40.39,0.0,62.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
