,cluster,ts_weight,generation_cost,emissions,gen_baseload_region1,gen_peaking_region1,transmission_region1_region2,transmission_region1_region5,transmission_region1_region6,demand_region2,gen_unmet_region2,gen_wind_region2,gen_storage_region2,level_storage_interday_region2,level_storage_intraday_region2,level_storage_region2,transmission_region2_region3,gen_baseload_region3,gen_peaking_region3,transmission_region3_region4,demand_region4,gen_unmet_region4,transmission_region4_region5,demand_region5,gen_unmet_region5,gen_wind_region5,gen_storage_region5,level_storage_interday_region5,level_storage_intraday_region5,level_storage_region5,transmission_region5_region6,gen_baseload_region6,gen_peaking_region6,gen_wind_region6,gen_storage_region6,level_storage_interday_region6,level_storage_intraday_region6,level_storage_region6
2020-07-01 00:00:00,26,1.0,0.766,19939.761,29.192,10.683,39.695,0.18,0.0,42.86,0.0,3.344,0.0,0.0,0.0,0.0,0.179,49.141,0.0,49.319,39.37,0.0,9.949,25.35,0.0,15.22,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 01:00:00,26,1.0,0.658,18706.2,29.192,7.599,36.791,0.0,0.0,42.75,0.0,2.921,0.0,0.0,0.0,0.0,-3.038,49.141,0.0,46.103,37.13,0.0,8.973,23.77,0.0,14.797,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2020-07-01 02:00:00,26,1.0,0.618,18249.75,29.192,6.458,35.65,0.0,-0.0,43.44,0.0,2.719,0.0,0.0,0.0,0.0,-5.071,49.141,0.0,44.07,36.19,0.0,7.88,22.86,0.0,14.98,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 03:00:00,26,1.0,0.923,21730.147,29.192,15.159,40.831,3.519,-0.0,45.55,0.0,2.607,-0.0,0.0,-0.0,-0.0,-2.111,49.141,0.0,47.029,37.08,0.0,9.949,22.4,0.0,15.232,-6.301,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 04:00:00,26,1.0,1.104,23802.166,29.192,20.339,42.502,7.029,0.0,51.09,0.0,2.529,-0.0,0.0,-0.0,-0.0,-6.06,49.141,0.0,43.081,39.45,0.0,3.631,22.79,0.0,15.838,-3.709,0.0,5.986,5.986,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 05:00:00,26,1.0,1.391,27081.593,29.192,20.339,42.502,7.029,-0.0,56.31,0.0,3.176,0.0,0.0,-0.0,-0.0,-10.633,49.141,8.199,46.707,42.98,0.0,3.727,26.64,0.0,15.884,0.0,0.0,9.509,9.509,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2020-07-01 06:00:00,26,1.0,1.741,31081.098,29.192,20.339,42.502,7.029,-0.0,59.74,0.0,4.709,0.0,0.0,-0.0,-0.0,-12.529,49.141,18.197,54.809,46.1,0.0,8.709,32.0,0.0,16.262,0.0,0.0,9.509,9.509,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 07:00:00,26,1.0,1.925,33187.632,29.192,20.339,42.502,7.029,0.0,61.45,0.0,4.623,0.0,0.0,-0.0,-0.0,-14.325,49.141,23.464,58.279,48.33,0.0,9.949,36.07,0.0,17.2,1.891,0.0,9.509,9.509,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 08:00:00,26,1.0,1.929,33236.023,29.192,20.339,42.502,7.029,-0.0,63.14,0.0,7.462,0.0,0.0,-0.0,-0.0,-13.176,49.141,23.585,59.549,49.6,0.0,9.949,38.1,0.0,18.653,2.468,0.0,7.518,7.518,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2020-07-01 09:00:00,26,1.0,1.959,33574.037,29.192,20.339,42.502,7.029,-0.0,64.59,0.0,8.947,0.0,0.0,-0.0,-0.0,-13.141,49.141,24.43,60.429,50.48,0.0,9.949,38.8,0.0,19.718,2.104,0.0,4.92,4.92,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
