,output
cap_baseload_region1,38.920374
gen_baseload_region1,1013786.6859340002
cap_peaking_region1,9.3373347
gen_peaking_region1,136776.73116564
cap_transmission_region1_region2,48.662917
cap_transmission_region1_region5,0.40520828
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1473610.7199999997
cap_wind_region2,33.431089
gen_wind_region2,316856.20270759996
cap_storage_energy_region2,111.19484
cap_storage_power_region2,100.0
cap_transmission_region2_region3,12.046214
cap_baseload_region3,39.668005
gen_baseload_region3,969399.3896634001
cap_peaking_region3,32.351694
gen_peaking_region3,286530.05359564
cap_transmission_region3_region4,65.311386
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1452028.6
cap_transmission_region4_region5,20.848614
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,991384.95
cap_wind_region5,125.92744
gen_wind_region5,1208916.0248195
cap_storage_energy_region5,1641.1328
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.58837890821384
cap_peaking_total,41.68902864965544
cap_wind_total,159.358529
cap_storage_energy_total,1752.327672671083
cap_storage_power_total,300.0
cap_transmission_total,147.27433913930304
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1983186.0735589536
gen_peaking_total,423306.784192699
gen_wind_total,1525772.177256408
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3917024.2699999996
emissions_total,565959932.3648676
cost_install,181143.4578587844
cost_operate,24743.264552296445
cost_total,205886.72241108085
num_ts,720.0
sum_ts_weights,26304.0
solution_time,66.316233
