,output
cap_baseload_region1,38.920374
gen_baseload_region1,1013467.0704640001
cap_peaking_region1,9.3373347
gen_peaking_region1,114589.314797563
cap_transmission_region1_region2,48.662917
cap_transmission_region1_region5,0.40520828
cap_transmission_region1_region6,0.0
peak_unmet_region2,16.140289
gen_unmet_region2,1671.4903269540002
demand_region2,1470689.425
cap_wind_region2,33.431089
gen_wind_region2,338094.418352105
cap_storage_energy_region2,111.19484
cap_storage_power_region2,100.0
cap_transmission_region2_region3,12.046214
cap_baseload_region3,39.668005
gen_baseload_region3,950841.69971156
cap_peaking_region3,32.351694
gen_peaking_region3,218135.84339249833
cap_transmission_region3_region4,65.311386
peak_unmet_region4,43.867228
gen_unmet_region4,14021.833799042
demand_region4,1472070.2850000001
cap_transmission_region4_region5,20.848614
peak_unmet_region5,24.153069
gen_unmet_region5,4050.37729153
demand_region5,997097.365
cap_wind_region5,125.92744
gen_wind_region5,1306587.3103783801
cap_storage_energy_region5,1641.1328
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.588479
cap_peaking_total,41.689128700000005
cap_wind_total,159.358629
cap_storage_energy_total,1752.32774
cap_storage_power_total,300.0
cap_transmission_total,147.27453928
peak_unmet_total,84.160586
peak_unmet_systemwide,73.27700300000001
gen_baseload_total,1964310.027073522
gen_peaking_total,332725.3094152167
gen_wind_total,1644682.0580748878
gen_solar_total,0.0
gen_unmet_total,19743.701417526
demand_total,3939857.075
cost_install,0.0
cost_operate,139941.06821177353
cost_total,139941.06821177353
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,580.030739
