,output
cap_baseload_region1,0.0
gen_baseload_region1,0.0
cap_peaking_region1,3.8833063
gen_peaking_region1,51394.62933775057
cap_transmission_region1_region2,2.6486146
cap_transmission_region1_region5,2.6486104
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470689.4248950002
cap_wind_region2,116.03033
gen_wind_region2,1163232.8943896
cap_storage_energy_region2,721.91972
cap_storage_power_region2,100.0
cap_transmission_region2_region3,36.906775
cap_baseload_region3,32.504115
gen_baseload_region3,736154.08079304
cap_peaking_region3,65.572872
gen_peaking_region3,808568.05588328
cap_transmission_region3_region4,65.586059
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1472070.2850610001
cap_transmission_region4_region5,19.139497
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,997097.36501
cap_wind_region5,116.53332
gen_wind_region5,1198044.5311230002
cap_storage_energy_region5,2329.6351
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,32.504115
cap_peaking_total,69.45617816672916
cap_wind_total,232.56365
cap_storage_energy_total,3051.554850653127
cap_storage_power_total,300.0
cap_transmission_total,126.92955631929838
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,736154.0800058952
gen_peaking_total,859962.6836917334
gen_wind_total,2361277.3714807634
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3939857.0749660004
emissions_total,491215891.230846
cost_install,168137.36048864358
cost_operate,33792.46662443367
cost_total,201929.82711307725
num_ts,720.0
sum_ts_weights,26304.0
solution_time,110.865751
