,output
cap_baseload_region1,0.0
gen_baseload_region1,0.0
cap_peaking_region1,3.8833063
gen_peaking_region1,38624.737095014105
cap_transmission_region1_region2,2.6486146
cap_transmission_region1_region5,2.6486104
cap_transmission_region1_region6,0.0
peak_unmet_region2,32.358081
gen_unmet_region2,10623.514808616
demand_region2,1470689.425
cap_wind_region2,116.03033
gen_wind_region2,1167998.04756932
cap_storage_energy_region2,721.91972
cap_storage_power_region2,100.0
cap_transmission_region2_region3,36.906775
cap_baseload_region3,32.504115
gen_baseload_region3,736336.8388482601
cap_peaking_region3,65.572872
gen_peaking_region3,735141.8853475939
cap_transmission_region3_region4,65.586059
peak_unmet_region4,41.883438
gen_unmet_region4,7883.035113218
demand_region4,1472070.2850000001
cap_transmission_region4_region5,19.139497
peak_unmet_region5,23.23246
gen_unmet_region5,1931.496399926
demand_region5,997097.365
cap_wind_region5,116.53332
gen_wind_region5,1272744.1653408099
cap_storage_energy_region5,2329.6351
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,32.504315000000005
cap_peaking_total,69.45627830000001
cap_wind_total,232.56375
cap_storage_energy_total,3051.55492
cap_storage_power_total,300.0
cap_transmission_total,126.92975600000003
peak_unmet_total,97.473979
peak_unmet_systemwide,85.93809
gen_baseload_total,736339.9015331373
gen_peaking_total,773766.9500154265
gen_wind_total,2440742.5840754495
gen_solar_total,0.0
gen_unmet_total,20438.04632176
demand_total,3939857.075
cost_install,0.0
cost_operate,153405.03588548658
cost_total,153405.03588548658
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,687.400446
