,output
cap_baseload_region1,40.33826
gen_baseload_region1,1051781.382787
cap_peaking_region1,21.505542
gen_peaking_region1,263463.73793422
cap_transmission_region1_region2,52.670695
cap_transmission_region1_region5,9.1731068
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1465043.9100000001
cap_wind_region2,19.022248
gen_wind_region2,176420.049632609
cap_storage_energy_region2,208.82466
cap_storage_power_region2,100.0
cap_transmission_region2_region3,7.805
cap_baseload_region3,36.38
gen_baseload_region3,902865.9692223
cap_peaking_region3,38.125155
gen_peaking_region3,249744.18808511
cap_transmission_region3_region4,67.985
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1449084.6300000001
cap_transmission_region4_region5,20.375
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,995081.24
cap_wind_region5,117.28327
gen_wind_region5,1272060.05704329
cap_storage_energy_region5,439.01591
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,76.71826
cap_peaking_total,59.63069789344514
cap_wind_total,136.30551597428712
cap_storage_energy_total,647.840665257406
cap_storage_power_total,300.0
cap_transmission_total,158.0088010208798
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1954647.3517462967
gen_peaking_total,513207.9282561218
gen_wind_total,1448480.05591537
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3909209.7800000003
emissions_total,596212646.842115
cost_install,179118.96609075458
cost_operate,27747.000673410526
cost_total,206865.9667641651
num_ts,720.0
sum_ts_weights,26304.0
solution_time,70.828846
