,output
cap_baseload_region1,40.33826
gen_baseload_region1,1050101.433563
cap_peaking_region1,21.505542
gen_peaking_region1,233446.5944462822
cap_transmission_region1_region2,52.670695
cap_transmission_region1_region5,9.1731068
cap_transmission_region1_region6,0.0
peak_unmet_region2,12.583183
gen_unmet_region2,425.38244439000005
demand_region2,1470689.425
cap_wind_region2,19.022248
gen_wind_region2,192375.302918005
cap_storage_energy_region2,208.82466
cap_storage_power_region2,100.0
cap_transmission_region2_region3,7.805
cap_baseload_region3,36.38
gen_baseload_region3,898351.0682507401
cap_peaking_region3,38.125155
gen_peaking_region3,283266.173809599
cap_transmission_region3_region4,67.985
peak_unmet_region4,40.72
gen_unmet_region4,11890.995744602
demand_region4,1472070.2850000001
cap_transmission_region4_region5,20.375
peak_unmet_region5,16.51097
gen_unmet_region5,2208.146957989
demand_region5,997097.365
cap_wind_region5,117.28327
gen_wind_region5,1280607.27594082
cap_storage_energy_region5,439.01591
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,76.71836
cap_peaking_total,59.630797
cap_wind_total,136.305618
cap_storage_energy_total,647.84067
cap_storage_power_total,300.0
cap_transmission_total,158.0090018
peak_unmet_total,69.814153
peak_unmet_systemwide,59.819767999999996
gen_baseload_total,1948454.10091374
gen_peaking_total,516712.7682558812
gen_wind_total,1472983.0005364618
gen_solar_total,0.0
gen_unmet_total,14524.525146981
demand_total,3939857.075
cost_install,0.0
cost_operate,114986.04395656331
cost_total,114986.04395656331
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,599.818097
