,output
cap_baseload_region1,26.67703
gen_baseload_region1,701712.59712
cap_peaking_region1,19.451929
gen_peaking_region1,220948.25244878003
cap_transmission_region1_region2,38.014345
cap_transmission_region1_region5,8.1146096
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1483038.77
cap_wind_region2,43.453555
gen_wind_region2,438896.83151711
cap_storage_energy_region2,485.74068
cap_storage_power_region2,100.0
cap_transmission_region2_region3,19.275
cap_baseload_region3,45.81
gen_baseload_region3,1172460.4492320002
cap_peaking_region3,50.58
gen_peaking_region3,305273.4950066
cap_transmission_region3_region4,77.115
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1471217.0899999999
cap_transmission_region4_region5,9.385
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,990711.04
cap_wind_region5,113.99987
gen_wind_region5,1118037.2043647
cap_storage_energy_region5,1889.5903
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,72.48702993150016
cap_peaking_total,70.031930599997
cap_wind_total,157.45342462346983
cap_storage_energy_total,2375.331049528618
cap_storage_power_total,300.0
cap_transmission_total,151.90395641208787
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1874173.0446936265
gen_peaking_total,526221.750462246
gen_wind_total,1556934.0028443958
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3944966.9
emissions_total,585323312.8710717
cost_install,188020.74196355202
cost_operate,27800.450347462116
cost_total,215821.19231101414
num_ts,720.0
sum_ts_weights,26304.0
solution_time,87.59595
