,output
cap_baseload_region1,26.67703
gen_baseload_region1,698294.0513355
cap_peaking_region1,19.451929
gen_peaking_region1,167086.895291685
cap_transmission_region1_region2,38.014345
cap_transmission_region1_region5,8.1146096
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1470689.425
cap_wind_region2,43.453555
gen_wind_region2,439453.36044449406
cap_storage_energy_region2,485.74068
cap_storage_power_region2,100.0
cap_transmission_region2_region3,19.275
cap_baseload_region3,45.81
gen_baseload_region3,1152102.3169902
cap_peaking_region3,50.58
gen_peaking_region3,286935.715253369
cap_transmission_region3_region4,77.115
peak_unmet_region4,1.86
gen_unmet_region4,19.130000000000003
demand_region4,1472070.2850000001
cap_transmission_region4_region5,9.385
peak_unmet_region5,9.658704
gen_unmet_region5,79.13968477
demand_region5,997097.365
cap_wind_region5,113.99987
gen_wind_region5,1218254.12748904
cap_storage_energy_region5,1889.5903
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,72.48713000000001
cap_peaking_total,70.032029
cap_wind_total,157.453525
cap_storage_energy_total,2375.3310800000004
cap_storage_power_total,300.0
cap_transmission_total,151.9041546
peak_unmet_total,11.518704
peak_unmet_systemwide,9.658704
gen_baseload_total,1850397.8005257
gen_peaking_total,454022.610545054
gen_wind_total,1657707.8449418896
gen_solar_total,0.0
gen_unmet_total,98.26968477
demand_total,3939857.075
cost_install,0.0
cost_operate,25744.551676705512
cost_total,25744.551676705512
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,708.216751
