,output
cap_baseload_region1,24.334568
gen_baseload_region1,640096.476672
cap_peaking_region1,28.18625
gen_peaking_region1,310648.43514568
cap_transmission_region1_region2,44.82019
cap_transmission_region1_region5,12.23831
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1504459.62
cap_wind_region2,33.151865
gen_wind_region2,327675.67877354997
cap_storage_energy_region2,443.76709
cap_storage_power_region2,100.0
cap_transmission_region2_region3,12.395
cap_baseload_region3,49.4
gen_baseload_region3,1252715.490478
cap_peaking_region3,36.82
gen_peaking_region3,210536.47738994999
cap_transmission_region3_region4,74.015
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1470586.1800000002
cap_transmission_region4_region5,12.675
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,993507.1599999999
cap_wind_region5,116.72096
gen_wind_region5,1238434.0054664
cap_storage_energy_region5,1601.0739
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,73.734568
cap_peaking_total,65.00624992291725
cap_wind_total,149.87282499981515
cap_storage_energy_total,2044.8410188528183
cap_storage_power_total,300.0
cap_transmission_total,156.14350032965592
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,1892811.9670375693
gen_peaking_total,521184.9121246505
gen_wind_total,1566109.6703905314
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3968552.96
emissions_total,587036360.8131196
cost_install,186245.89186316452
cost_operate,27717.719861789414
cost_total,213963.61172495392
num_ts,720.0
sum_ts_weights,26304.0
solution_time,86.576868
