,output
cap_baseload_region1,24.334568
gen_baseload_region1,636950.74655431
cap_peaking_region1,28.18625
gen_peaking_region1,261162.739386788
cap_transmission_region1_region2,44.82019
cap_transmission_region1_region5,12.23831
cap_transmission_region1_region6,0.0
peak_unmet_region2,18.229203
gen_unmet_region2,480.18386649999997
demand_region2,1470689.425
cap_wind_region2,33.151865
gen_wind_region2,335270.577600378
cap_storage_energy_region2,443.76709
cap_storage_power_region2,100.0
cap_transmission_region2_region3,12.395
cap_baseload_region3,49.4
gen_baseload_region3,1237964.2769431998
cap_peaking_region3,36.82
gen_peaking_region3,185954.66797943998
cap_transmission_region3_region4,74.015
peak_unmet_region4,26.81
gen_unmet_region4,348.32939919999995
demand_region4,1472070.2850000001
cap_transmission_region4_region5,12.675
peak_unmet_region5,12.08166
gen_unmet_region5,63.25741208
demand_region5,997097.365
cap_wind_region5,116.72096
gen_wind_region5,1302897.35534789
cap_storage_energy_region5,1601.0739
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,73.734668
cap_peaking_total,65.00635
cap_wind_total,149.872925
cap_storage_energy_total,2044.8410900000001
cap_storage_power_total,300.0
cap_transmission_total,156.1437
peak_unmet_total,57.120863
peak_unmet_systemwide,56.082611
gen_baseload_total,1874916.6762975098
gen_peaking_total,447117.5260293893
gen_wind_total,1638168.3467898841
gen_solar_total,0.0
gen_unmet_total,891.7706777799999
demand_total,3939857.075
cost_install,0.0
cost_operate,30386.678385487638
cost_total,30386.678385487638
num_ts,26304.0
sum_ts_weights,26304.0
solution_time,667.232085
