,output
cap_baseload_region1,29.191879
gen_baseload_region1,767863.185216
cap_peaking_region1,20.33913
gen_peaking_region1,239523.98991811002
cap_transmission_region1_region2,42.501721
cap_transmission_region1_region5,7.0292865
cap_transmission_region1_region6,0.0
peak_unmet_region2,0.0
gen_unmet_region2,0.0
demand_region2,1497987.11
cap_wind_region2,37.404688
gen_wind_region2,385653.90133405
cap_storage_energy_region2,498.00481
cap_storage_power_region2,100.0
cap_transmission_region2_region3,15.38
cap_baseload_region3,49.140703
gen_baseload_region3,1254610.433746
cap_peaking_region3,42.79
gen_peaking_region3,237917.55340185
cap_transmission_region3_region4,76.550703
peak_unmet_region4,0.0
gen_unmet_region4,0.0
demand_region4,1498061.6400000001
cap_transmission_region4_region5,9.9492966
peak_unmet_region5,0.0
gen_unmet_region5,0.0
demand_region5,998204.3800000001
cap_wind_region5,114.43853
gen_wind_region5,1122322.0172686
cap_storage_energy_region5,2193.6877
cap_storage_power_region5,100.0
cap_transmission_region5_region6,0.0
cap_baseload_region6,0.0
gen_baseload_region6,0.0
cap_peaking_region6,0.0
gen_peaking_region6,0.0
cap_wind_region6,0.0
gen_wind_region6,0.0
cap_storage_energy_region6,0.0
cap_storage_power_region6,100.0
cap_baseload_total,78.332582
cap_peaking_total,63.1291321323475
cap_wind_total,151.8432156414861
cap_storage_energy_total,2691.6926946169997
cap_storage_power_total,300.0
cap_transmission_total,151.41100672805345
peak_unmet_total,0.0
peak_unmet_systemwide,0.0
gen_baseload_total,2022473.6188005954
gen_peaking_total,477441.5493297022
gen_wind_total,1507975.8703365175
gen_solar_total,0.0
gen_unmet_total,0.0
demand_total,3994253.13
emissions_total,595471350.3716155
cost_install,190165.4897773316
cost_operate,26834.690355576862
cost_total,217000.18013290846
num_ts,720.0
sum_ts_weights,26304.0
solution_time,81.50305
