"province","ID_INE","Date","Incidence","Median_Age","Male2Female","Older","GDPpc","Density","Transit","Mean_Temp_lag8","Humidity_lag8","Sunshine_Hours_lag8","Mean_Temp_lag11","Humidity_lag11","Sunshine_Hours_lag11","Mean_Temp_lag11w","Humidity_lag11w","Sunshine_Hours_lag11w"
"Albacete",2,"2020-03-13",9.78960086766778,43.33,99.79,19.4,19.073,26.0033080613635,0,10.7875,69.80375,4.7875,11.9,67.5763636363636,6.03636363636364,11.5579187142464,63.841968138073,6.24459987653002
"Albacete",2,"2020-03-14",18.0334752825459,43.33,99.79,19.4,19.073,26.0033080613635,0,10.7,68.205,5.075,12.3545454545455,66.8654545454546,6.4,12.9115042118853,63.2677847734837,7.3272947416828
"Albacete",2,"2020-03-15",20.3520649617304,43.33,99.79,19.4,19.073,26.0033080613635,0,11.3125,66.20625,5.525,12.8818181818182,66.8836363636364,6.60909090909091,14.2503071448521,64.0157574831965,8.16767569404995
"Albacete",2,"2020-03-16",32.4602555085826,43.33,99.79,19.4,19.073,26.0033080613635,0,12.3,65.0175,5.9625,13.2727272727273,66.9290909090909,6.83636363636364,15.0651643159255,65.701404041976,8.62625899846109
"Albacete",2,"2020-03-17",38.1279191688114,43.33,99.79,19.4,19.073,26.0033080613635,0,12.825,64.1775,6.9625,13.4909090909091,67.7290909090909,7.45454545454545,15.3179907151909,68.4682080489832,8.8418055666257
"Albacete",2,"2020-03-18",52.4258888571156,43.33,99.79,19.4,19.073,26.0033080613635,0,13.25,64.3375,7.4875,13.0181818181818,70.1,7.36363636363636,15.0530233152995,72.529924764707,8.67852053929315
"Albacete",2,"2020-03-19",66.7238585454199,43.33,99.79,19.4,19.073,26.0033080613635,0,13.925,66.16,8.05,12.8909090909091,73.0345454545455,7.04545454545455,13.9011844032654,77.7914359911125,7.7824964645231
"Albacete",2,"2020-03-20",84.2420916770359,43.33,99.79,19.4,19.073,26.0033080613635,0,14.85,68.68375,8.6,13.1181818181818,74.8427272727273,6.93636363636364,12.4075434232162,82.528493969495,6.38025227176651
"Albacete",2,"2020-03-21",110.777062449925,43.33,99.79,19.4,19.073,26.0033080613635,0,14.4,72.48625,8.475,12.9545454545455,76.9354545454545,6.69090909090909,11.2998237061644,85.1901577111096,5.08400838449195
"Albacete",2,"2020-03-22",110.777062449925,43.33,99.79,19.4,19.073,26.0033080613635,0,13.8375,76.51,7.55,12.7636363636364,79.2254545454546,6.07272727272727,10.5882114848251,86.4716856095266,4.0119601994756
"Albacete",2,"2020-03-23",110.777062449925,43.33,99.79,19.4,19.073,26.0033080613635,0,13.3375,80.10875,6.7125,12.1545454545455,83.1336363636364,5.20909090909091,10.0928547730992,87.6229713809531,3.11930070590455
